Player,G,PTS,TRB,AST
Alaa Abdelnaby,256,5.7,3.3,0.3
Zaid Abdul-Aziz,505,9.0,8.0,1.2
Kareem Abdul-Jabbar,1560,24.6,11.2,3.6
Mahmoud Abdul-Rauf,586,14.6,1.9,3.5
Tariq Abdul-Wahad,236,7.8,3.3,1.1
Shareef Abdur-Rahim,830,18.1,7.5,2.5
Tom Abernethy,319,5.6,3.2,1.2
Forest Able,1,0.0,1.0,1.0
John Abramovic,56,9.5,-,0.7
Álex Abrines,174,5.3,1.4,0.5
Precious Achiuwa,263,7.8,5.7,1.0
Alex Acker,30,2.7,1.0,0.5
Don Ackerman,28,1.5,0.5,0.8
Mark Acres,375,3.6,4.1,0.5
Bud Acton,23,3.3,2.0,0.5
Quincy Acy,337,4.9,3.5,0.6
Alvan Adams,988,14.1,7.0,4.1
Don Adams,523,8.8,5.6,1.9
George Adams,215,7.7,4.1,1.5
Hassan Adams,73,2.5,1.2,0.2
Jaylen Adams,41,2.7,1.5,1.6
Jordan Adams,32,3.2,0.9,0.6
Michael Adams,653,14.7,2.9,6.4
Steven Adams,714,9.2,8.1,1.5
Rafael Addison,379,5.8,2.1,0.9
Bam Adebayo,504,15.4,8.8,3.5
Deng Adel,19,1.7,1.0,0.3
Rick Adelman,462,7.7,2.4,3.5
Jeff Adrien,153,4.6,4.3,0.7
Arron Afflalo,762,10.8,2.9,1.8
Ochai Agbaji,155,7.3,2.7,1.2
Maurice Ager,82,2.1,0.6,0.2
Mark Aguirre,923,20.0,5.0,3.1
Blake Ahearn,19,4.6,1.2,1.2
Danny Ainge,1042,11.5,2.7,4.0
Matt Aitch,45,5.6,3.6,0.4
Alexis Ajinça,293,5.3,3.9,0.5
Henry Akin,88,3.5,2.1,0.5
Josh Akognon,3,1.7,0.3,0.3
DeVaughn Akoon-Purcell,7,1.0,0.6,0.9
Solomon Alabi,26,1.5,2.3,0.2
Mark Alarie,325,7.5,3.4,1.1
Gary Alcorn,78,3.3,4.2,0.3
Santi Aldama,188,9.1,5.1,1.7
Furkan Aldemir,41,2.3,4.3,0.7
Cole Aldrich,339,3.1,3.3,0.5
LaMarcus Aldridge,1076,19.1,8.1,1.9
Chuck Aleksinas,74,5.1,3.6,0.5
Cliff Alexander,8,1.3,0.8,0.0
Cory Alexander,307,5.5,1.6,2.7
Courtney Alexander,187,9.0,2.2,1.2
Gary Alexander,11,1.7,1.4,0.2
