Player,G,PTS,TRB,AST
Chris Babb,14,1.6,1.2,0.2
Luke Babbitt,381,4.8,2.2,0.6
Miloš Babić,21,1.8,1.0,0.5
Johnny Bach,34,3.5,-,0.7
Dwayne Bacon,207,7.3,2.6,1.1
Henry Bacon,47,3.5,1.7,0.8
Ibou Badji,22,1.5,2.3,0.6
Jim Baechtold,321,9.7,3.1,2.1
Dalibor Bagarić,95,2.6,2.5,0.4
John Bagley,665,8.7,2.6,6.0
Marvin Bagley III,268,12.6,6.8,0.9
Amari Bailey,10,2.3,0.9,0.7
Carl Bailey,1,2.0,0.0,0.0
Gus Bailey,147,2.6,1.7,1.1
James Bailey,595,8.8,5.0,0.8
Thurl Bailey,928,12.8,5.1,1.4
Toby Bailey,73,3.3,1.7,0.6
Cameron Bairstow,36,1.2,1.0,0.2
Jimmie Baker,5,1.2,2.8,0.8
Mark Baker,1,0.0,0.0,0.0
Maurice Baker,5,0.0,0.4,0.2
Norm Baker,4,0.0,-,0.0
Ron Baker,96,3.1,1.4,1.8
Vin Baker,791,15.0,7.4,1.9
Patrick Baldwin Jr.,79,3.9,2.2,0.5
Wade Baldwin,56,3.1,1.2,1.4
Renaldo Balkman,221,4.0,3.5,0.6
Cedric Ball,7,1.1,1.6,0.0
LaMelo Ball,201,20.9,6.1,7.4
Lonzo Ball,255,11.8,5.7,6.2
Greg Ballard,802,12.4,6.1,2.2
Herschel Baltimore,58,2.4,-,0.3
Mo Bamba,337,7.0,5.5,0.9
Paolo Banchero,157,21.6,7.0,4.6
Desmond Bane,255,17.3,4.3,3.3
Gene Banks,468,11.3,5.8,2.9
Marcus Banks,348,5.9,1.5,2.1
Walker Banks,16,2.6,3.1,0.5
Ken Bannister,253,5.9,3.5,0.4
Mike Bantom,706,12.1,6.4,2.3
Dalano Banton,165,6.4,2.3,1.8
Cat Barber,3,0.0,1.0,1.0
John Barber,5,1.4,1.2,0.0
Leandro Barbosa,850,10.6,2.0,2.1
Steve Bardo,33,2.2,1.8,1.3
J.J. Barea,831,8.9,2.1,3.9
Andrea Bargnani,550,14.3,4.6,1.2
Cliff Barker,149,3.7,1.8,2.0
Tom Barker,98,6.5,5.3,0.8
Charles Barkley,1073,22.1,11.7,3.9
Erick Barkley,27,2.9,0.8,1.5
Don Barksdale,262,11.0,8.0,2.1
Dominick Barlow,63,4.0,3.4,1.0
Harrison Barnes,929,14.0,4.9,1.8
Harry Barnes,22,2.0,1.2,0.2
Jim Barnes,454,8.8,6.5,0.8
Marvin Barnes,315,16.0,9.1,2.1
Matt Barnes,929,8.2,4.6,1.8
Scottie Barnes,218,16.7,7.4,4.7
Dick Barnett,971,15.8,2.9,2.8
Jim Barnett,732,11.7,3.1,3.0
Nate Barnett,12,2.3,0.7,0.7
John Barnhill,589,8.6,2.5,2.9
Norton Barnhill,4,1.0,0.8,0.3
Leo Barnhorst,344,9.4,5.4,3.2
John Barr,58,5.1,-,0.9
Mike Barr,307,5.9,2.1,2.8
Moe Barr,31,2.0,0.6,0.9
Andre Barrett,67,3.3,1.1,2.0
Ernie Barrett,131,4.9,2.6,1.7
Mike Barrett,187,13.4,3.2,3.9
RJ Barrett,344,18.6,5.5,3.1
Earl Barron,140,4.6,3.5,0.5
Dana Barros,850,10.5,1.9,3.3
