Player,G,PTS,TRB,AST
Žarko Čabarkapa,150,4.3,2.1,0.6
Barney Cable,362,6.6,5.2,1.1
Bruno Caboclo,105,4.2,2.6,0.7
Devontae Cacok,36,2.5,2.2,0.2
Jason Caffey,462,7.3,4.4,0.9
Michael Cage,1140,7.3,7.6,0.9
Jamal Cain,56,4.5,2.2,0.6
Gerry Calabrese,104,4.7,1.4,1.4
Nick Calathes,129,4.6,1.9,2.7
José Calderón,895,8.9,2.4,5.8
Adrian Caldwell,197,2.0,2.5,0.2
Jim Caldwell,137,7.1,7.7,2.0
Joe Caldwell,782,16.1,5.3,3.4
Kentavious Caldwell-Pope,854,11.3,3.0,1.8
Bill Calhoun,442,7.8,4.0,2.3
Corky Calhoun,542,5.3,3.6,1.1
Demetrius Calip,7,1.6,0.7,1.7
Tom Callahan,13,1.3,-,0.3
Rick Calloway,64,3.2,1.2,1.0
Ernie Calverley,165,11.9,-,3.5
Mack Calvin,755,16.1,2.5,4.8
Toumani Camara,89,7.8,5.0,1.4
Dexter Cambridge,53,7.0,3.2,1.1
Marcus Camby,973,9.5,9.8,1.9
Facundo Campazzo,138,5.3,1.8,3.3
Elden Campbell,1044,10.3,5.9,1.1
Tony Campbell,690,11.6,3.1,1.5
Isaiah Canaan,235,8.1,1.9,1.9
Vlatko Čančar,134,3.5,1.7,0.9
Devin Cannady,13,6.5,0.8,0.8
Larry Cannon,213,16.6,2.9,3.6
Clint Capela,628,12.2,10.6,1.0
Derrick Caracter,41,2.0,1.0,0.2
Frank Card,306,9.5,5.6,1.2
Brian Cardinal,456,4.6,2.3,1.0
Vernon Carey Jr.,37,1.9,1.4,0.1
Howie Carl,31,5.5,1.3,1.8
Chet Carlisle,51,5.0,-,0.3
Geno Carlisle,6,1.3,0.2,0.2
Rick Carlisle,188,2.2,0.8,1.1
Don Carlos,56,11.2,5.0,2.8
Al Carlson,28,2.6,2.6,0.5
Branden Carlson,1,2.0,4.0,0.0
Don Carlson,180,8.0,1.7,1.8
Bob Carney,19,3.6,2.4,0.8
Rodney Carney,299,5.9,2.0,0.4
Bob Carpenter,122,7.7,4.1,1.4
Antoine Carr,987,9.3,3.4,1.1
Austin Carr,682,15.4,2.9,2.8
Chris Carr,297,6.7,2.2,1.0
Cory Carr,42,4.1,1.2,1.6
Kenny Carr,674,11.6,7.4,1.4
M.L. Carr,678,10.0,4.5,2.0
Darel Carrier,350,20.0,3.4,2.6
Bob Carrington,82,8.2,2.3,1.5
Carlton Carrington,17,9.1,3.9,4.5
DeMarre Carroll,578,8.9,4.2,1.3
Joe Barry Carroll,705,17.7,7.7,1.8
Matt Carroll,459,6.6,1.9,0.7
Jimmy Carruth,4,1.3,1.0,0.0
Anthony Carter,623,4.8,2.1,3.8
Butch Carter,361,8.7,1.5,1.9
Fred Carter,611,15.2,3.9,3.5
George Carter,479,18.1,6.8,2.0
Howard Carter,66,5.3,1.3,1.1
Jake Carter,24,3.4,-,1.0
Jevon Carter,385,5.2,1.7,1.6
Maurice Carter,10,4.2,1.1,0.4
Reggie Carter,135,3.5,1.2,1.5
Ron Carter,59,3.0,1.1,0.6
Vince Carter,1541,16.7,4.3,3.1
Wendell Carter Jr.,322,12.4,8.5,2.0
Michael Carter-Williams,395,10.2,4.3,4.3
D.J. Carton,8,1.8,1.0,0.8
Bill Cartwright,963,13.2,6.3,1.4
Jay Carty,28,2.7,2.1,0.4
Alex Caruso,376,6.8,2.9,2.8
Cornelius Cash,6,3.5,2.7,0.2
Sam Cash,7,2.9,2.7,0.0
Sam Cassell,993,15.7,3.2,6.0
Omri Casspi,588,7.9,4.0,1.1
Stephon Castle,19,11.5,2.7,3.8
Colin Castleton,22,1.3,0.8,0.1
Harvey Catchings,725,3.2,5.0,0.8
Terry Catledge,515,12.7,6.4,0.9
Sid Catlett,9,0.7,0.4,0.1
Kelvin Cato,541,5.5,5.3,0.5
Bobby Cattage,78,3.1,1.4,0.1
Willie Cauley-Stein,422,8.7,5.9,1.4
Troy Caupain,4,2.5,0.8,1.0
Duane Causwell,541,4.9,4.2,0.4
Tyler Cavanaugh,50,3.8,2.7,0.6
Ron Cavenall,58,1.4,2.9,0.3
Ahmad Caver,1,2.0,0.0,0.0
Malcolm Cazalon,1,0.0,0.0,0.0
Cedric Ceballos,609,14.3,5.3,1.2
John Celestand,16,2.3,0.7,1.3
Al Cervi,202,7.9,1.8,3.2
Lionel Chalmers,36,3.1,0.9,1.4
Mario Chalmers,646,8.9,2.5,3.7
Bill Chamberlain,78,5.3,2.5,1.4
Wilt Chamberlain,1045,30.1,22.9,4.4
Jerry Chambers,320,8.3,3.2,0.8
Tom Chambers,1107,18.1,6.1,2.1
Julian Champagnie,110,8.1,3.3,1.3
Justin Champagnie,58,3.1,2.3,0.6
Mike Champion,2,0.0,0.0,0.0
Kennedy Chandler,36,2.2,1.1,1.6
Tyson Chandler,1160,8.2,9.0,0.8
Wilson Chandler,676,12.5,5.3,1.8
Don Chaney,790,8.4,4.0,2.2
John Chaney,16,4.4,-,1.3
Rex Chapman,666,14.6,2.5,2.7
Wayne Chapman,206,7.0,2.5,1.5
Len Chappell,670,9.3,5.1,0.8
Ken Charles,322,8.5,2.0,2.5
Lorenzo Charles,36,3.4,1.1,0.2
Joe Chealey,5,0.8,0.0,0.4
Calbert Cheaney,825,9.5,3.2,1.7
Zylan Cheatham,5,2.4,1.8,0.6
Maurice Cheeks,1101,11.1,2.8,6.7
Phil Chenier,578,17.2,3.6,3.0
Will Cherry,8,1.9,0.6,1.0
Derrick Chievous,154,7.1,2.4,0.7
Pete Chilcutt,584,4.3,3.3,0.8
Josh Childress,391,9.1,4.7,1.6
Randolph Childress,51,2.4,0.5,1.0
Chris Childs,541,6.9,2.4,4.9
Chris Chiozza,91,3.3,1.3,2.4
Leroy Chollet,63,2.9,1.1,0.8
Ulrich Chomche,1,2.0,1.0,0.0
Jim Chones,788,12.5,8.2,1.6
Marquese Chriss,292,7.6,4.7,1.0
Fred Christ,6,3.3,1.3,1.2
Cal Christensen,291,5.2,5.5,1.6
Bob Christian,248,3.8,4.1,0.8
Doug Christie,827,11.2,4.1,3.6
Max Christie,125,4.0,2.0,0.8
Dionte Christmas,31,2.3,1.2,0.3
Rakeem Christmas,30,2.1,1.9,0.1
Semaj Christon,64,2.9,1.4,2.0
Josh Christopher,138,6.9,1.9,1.6
Patrick Christopher,4,1.5,1.5,0.0
Steve Chubin,226,12.8,3.8,3.9
Robert Churchwell,4,1.5,0.8,0.3
Sidy Cissoko,20,2.5,1.4,0.8
Archie Clark,725,16.3,3.3,4.8
Carlos Clark,93,2.4,0.9,0.7
Dick Clark,58,6.2,2.4,1.7
Earl Clark,261,4.4,3.0,0.5
Gary Clark,170,3.1,2.5,0.5
Ian Clark,330,5.6,1.3,1.2
Keon Clark,353,8.2,5.9,0.9
Brandon Clarke,261,10.4,5.5,1.4
Coty Clarke,3,2.0,0.3,0.0
Jordan Clarkson,729,15.9,3.4,2.9
Gian Clavell,7,2.9,1.0,0.4
Victor Claver,80,3.2,2.2,0.7
John Clawson,70,4.7,2.8,0.7
Charles Claxton,3,0.7,0.7,0.0
Nic Claxton,254,10.2,7.8,1.6
Speedy Claxton,334,9.3,2.5,4.3
Jim Cleamons,652,8.3,3.0,3.9
Mateen Cleaves,167,3.6,1.0,1.9
Barry Clemens,790,6.7,3.2,1.1
Chris Clemons,33,4.9,0.9,0.8
Antonius Cleveland,28,1.2,0.8,0.1
Nat Clifton,544,10.0,8.2,2.5
Donovan Clingan,17,5.8,6.7,0.3
Bill Closs,186,9.0,5.0,1.9
Keith Closs,130,3.9,2.9,0.3
Noah Clowney,38,6.4,3.4,0.7
Paul Cloyd,7,2.7,-,0.3
Bob Cluggish,54,4.4,-,0.4
Ben Clyde,25,2.8,1.6,0.2
Amir Coffey,271,6.1,1.9,1.2
Richard Coffey,52,1.3,1.5,0.1
Fred Cofield,50,3.4,1.0,1.7
John Coker,25,1.6,1.2,0.1
Norris Cole,360,7.0,2.0,2.7
Ben Coleman,227,6.6,4.1,0.6
Derrick Coleman,781,16.5,9.3,2.5
E.C. Coleman,357,7.2,6.0,1.3
Jack Coleman,633,10.6,9.2,2.8
Norris Coleman,29,5.3,2.8,0.4
Bimbo Coles,852,7.8,2.1,3.9
Isaiah Collier,11,3.7,1.8,3.3
Jason Collier,151,5.6,2.9,0.3
Art Collins,29,3.2,1.4,0.9
Don Collins,303,9.8,2.8,1.8
Doug Collins,415,17.9,3.2,3.3
James Collins,23,2.6,0.6,0.1
Jarron Collins,542,3.9,2.9,0.8
Jason Collins,735,3.6,3.7,0.9
Jimmy Collins,74,3.8,0.9,0.9
John Collins,449,15.8,8.1,1.5
Mardy Collins,189,3.9,1.8,1.7
Sherron Collins,20,0.9,0.3,0.4
Zach Collins,333,8.2,4.8,1.8
Kyle Collinsworth,32,3.2,3.3,1.8
Darren Collison,711,12.5,2.7,5.0
Nick Collison,910,5.9,5.2,1.0
Joe Colone,15,5.5,-,0.6
Bonzie Colson,8,4.9,3.8,0.4
Sean Colson,13,1.2,0.5,0.8
Steve Colter,526,6.3,2.0,2.8
Chance Comanche,1,7.0,3.0,0.0
Glen Combs,465,16.5,2.6,3.5
Leroy Combs,48,4.5,1.2,0.8
John Comeaux,23,3.3,1.2,0.5
Dallas Comegys,142,6.0,3.2,0.7
Larry Comley,12,2.1,1.6,1.0
Jeff Congdon,306,6.5,2.0,3.3
Gene Conley,351,5.9,6.3,0.6
