Player,G,PTS,TRB,AST
Mike D'Antoni,180,3.4,1.5,2.0
Tristan Da Silva,16,7.5,3.9,1.8
Mike Dabich,10,2.0,1.3,0.2
Pacome Dadiet,10,1.9,1.3,0.4
Ed Dahler,14,2.5,1.6,0.4
Quintin Dailey,528,14.1,2.5,2.3
Samuel Dalembert,886,7.7,7.8,0.5
Howie Dallmar,146,9.6,-,2.3
Erick Dampier,987,7.4,7.1,0.8
Louie Dampier,960,15.9,2.6,4.9
Bob Dandridge,839,18.5,6.8,3.4
Antonio Daniels,872,7.6,1.8,3.4
Dyson Daniels,137,6.0,3.7,2.5
Erik Daniels,21,0.6,0.9,0.2
Lloyd Daniels,200,7.1,2.2,1.6
Marquis Daniels,548,7.9,2.8,1.8
Mel Daniels,639,18.4,14.9,1.8
Troy Daniels,339,6.6,1.3,0.5
Sasha Danilović,75,12.8,2.4,2.0
Adrian Dantley,955,24.3,5.7,3.0
Pete Darcey,12,0.9,0.8,0.2
Jimmy Darden,26,8.1,-,2.6
Ollie Darden,223,9.2,6.2,1.0
Yinka Dare,110,2.1,2.6,0.0
Jesse Dark,47,3.6,0.8,0.6
Nate Darling,7,1.3,0.1,0.1
Rick Darnell,11,2.4,3.3,0.8
Jimmy Darrow,5,2.4,1.4,1.2
Gigi Datome,55,3.4,1.4,0.4
Brad Daugherty,548,19.0,9.5,3.7
Mack Daughtry,4,3.3,1.3,0.8
Kornél Dávid,109,5.0,2.8,0.6
Jermareo Davidson,52,3.1,1.8,0.3
Bob Davies,462,14.3,2.9,4.9
Brandon Davies,78,3.7,2.5,0.7
Anthony Davis,753,24.2,10.7,2.5
Antonio Davis,903,10.0,7.5,1.1
Aubrey Davis,59,4.9,-,0.2
Baron Davis,835,16.1,3.8,7.2
Ben Davis,40,1.4,1.3,0.1
Bill Davis,47,1.8,-,0.2
Bob Davis,9,1.8,0.6,0.2
Brad Davis,961,8.2,1.8,4.9
Brian Davis,68,1.9,0.8,0.3
Charles Davis,415,5.3,2.4,0.7
Charlie Davis,144,8.9,1.5,2.2
Dale Davis,1094,8.0,7.9,0.9
Deyonta Davis,107,4.2,3.2,0.4
Dwight Davis,340,8.6,5.9,1.6
Ed Davis,722,5.9,6.4,0.7
Emanual Davis,226,4.9,1.9,1.8
Glen Davis,514,8.0,4.4,0.9
Harry Davis,44,4.0,1.6,0.4
Hubert Davis,685,8.2,1.5,1.7
Jim Davis,597,6.7,5.2,1.2
Johnny Davis,750,12.9,2.0,4.5
Johnny Davis,91,3.8,1.7,0.7
Josh Davis,67,2.3,1.7,0.3
Lee Davis,453,7.8,4.8,1.0
Mark Davis,33,3.8,1.1,0.4
Mark Davis,230,5.5,3.0,1.3
Mel Davis,190,5.3,4.3,0.9
Mickey Davis,309,5.0,2.7,1.0
Mike Davis,242,10.1,2.1,1.7
Mike Davis,8,1.8,1.3,0.0
Monti Davis,2,1.5,2.0,0.0
Paul Davis,82,2.6,1.9,0.4
Ralph Davis,150,8.0,1.7,2.8
Red Davis,3,0.7,1.3,0.3
Ricky Davis,736,13.5,3.5,3.3
Ron Davis,78,5.3,1.8,0.7
Terence Davis,227,8.0,2.7,1.3
Terry Davis,480,6.4,6.0,0.6
Tyler Davis,1,0.0,1.0,0.0
Walt Davis,325,4.8,4.3,0.7
Walter Davis,1033,18.9,3.0,3.8
Warren Davis,447,12.2,9.2,2.1
Willie Davis,8,2.3,1.6,0.3
JD Davison,23,1.7,0.9,1.0
Andre Dawkins,4,0.8,0.5,0.3
Darryl Dawkins,726,12.0,6.1,1.3
Johnny Dawkins,541,11.1,2.5,5.5
Paul Dawkins,57,5.5,2.2,1.4
Branden Dawson,6,0.8,0.7,0.0
Eric Dawson,4,3.8,2.5,0.0
Jimmy Dawson,21,5.6,1.0,1.5
Tony Dawson,6,2.8,0.8,0.2
Todd Day,483,12.3,3.4,1.5
Austin Daye,293,5.2,2.6,0.7
Darren Daye,328,6.8,2.6,2.0
Darius Days,4,3.8,1.5,0.3
Nando De Colo,119,3.8,1.8,1.7
Billy DeAngelis,8,1.3,0.8,1.0
Dave DeBusschere,875,16.1,11.0,2.9
Andrew DeClercq,587,4.8,4.2,0.6
Javin DeLaurier,1,0.0,1.0,0.0
Nate DeLong,17,3.8,1.8,0.8
Joe DePre,119,7.0,1.9,1.6
DeMar DeRozan,1125,21.3,4.4,4.1
Hank DeZonie,5,3.4,3.6,1.8
Greg Deane,7,1.4,0.9,0.9
Gabriel Deck,17,6.0,2.7,1.7
Dewayne Dedmon,515,6.3,5.8,0.7
Don Dee,58,5.7,5.0,0.6
Archie Dees,190,8.1,4.8,0.7
Terry Dehere,402,8.0,1.5,2.6
Red Dehnert,10,1.4,-,0.0
Bryce Dejean-Jones,14,5.6,3.4,1.1
Sam Dekker,201,5.4,3.0,0.8
Vinny Del Negro,771,9.1,2.3,3.2
Malcolm Delaney,127,5.7,1.8,2.8
Bison Dele,413,11.0,6.2,1.1
Carlos Delfino,507,8.1,3.6,1.7
Ángel Delgado,2,1.5,2.0,0.0
Tony Delk,545,9.1,2.5,1.9
Matthew Dellavedova,479,5.2,1.7,3.5
Fennis Dembo,31,1.2,0.7,0.2
Larry Demic,206,4.7,3.9,0.5
Dell Demps,20,3.0,0.5,0.5
George Dempsey,315,5.0,3.6,2.3
Luol Deng,902,14.8,6.1,2.3
Kenny Dennard,95,2.8,3.0,1.0
Blaine Denning,1,5.0,4.0,0.0
Dexter Dennis,4,5.5,2.3,1.0
Justin Dentmon,8,3.3,1.0,1.3
Randy Denton,413,11.5,8.6,1.3
Rod Derline,107,4.8,0.8,0.7
Marcus Derrickson,11,4.2,1.2,0.1
Dave Deutsch,19,1.1,1.1,0.8
Corky Devlin,210,7.1,2.1,2.1
Ernie DiGregorio,312,9.6,2.0,5.1
Donte DiVincenzo,372,10.5,4.3,2.8
Moussa Diabaté,51,2.8,4.4,0.4
Mamadi Diakite,55,3.1,2.3,0.4
Derrick Dial,82,3.1,1.6,0.8
Cheick Diallo,183,5.2,4.1,0.4
Hamidou Diallo,265,8.6,3.8,1.1
Boris Diaw,1064,8.6,4.4,3.5
Yakhouba Diawara,187,3.5,1.4,0.7
Guillermo Díaz,6,0.8,0.3,0.2
Gradey Dick,77,10.6,2.4,1.4
Dan Dickau,300,5.8,1.4,2.5
Kaniel Dickens,19,1.2,0.6,0.1
Henry Dickerson,23,2.0,0.2,0.8
Michael Dickerson,212,15.4,2.9,2.6
Clyde Dickey,58,2.8,1.1,0.8
Derrek Dickey,321,6.1,4.9,1.1
Dick Dickey,45,2.8,1.8,1.1
John Dickson,21,1.7,1.6,0.1
Travis Diener,179,4.8,1.4,2.4
Gorgui Dieng,628,7.3,5.6,1.3
Ousmane Dieng,88,4.3,2.3,1.1
Connie Dierking,706,10.0,6.7,1.5
Coby Dietrick,842,6.1,4.5,2.1
Craig Dill,65,6.8,5.8,0.5
Dwaine Dillard,3,1.3,3.0,0.7
Mickey Dillard,33,2.2,0.5,1.0
Bob Dille,57,5.2,-,0.7
Rob Dillingham,11,3.8,0.8,1.5
Hook Dillon,22,1.6,-,0.2
Byron Dinkins,45,3.4,1.2,2.1
Jackie Dinkins,18,2.5,1.1,0.4
Harry Dinnel,11,1.7,2.1,0.5
Bill Dinwiddie,220,4.4,3.3,0.6
Spencer Dinwiddie,559,13.1,3.0,5.1
Ike Diogu,225,6.0,3.1,0.3
DeSagana Diop,601,2.0,3.7,0.4
Terry Dischinger,652,13.8,5.6,1.8
Fred Diute,7,1.6,1.9,0.6
Vlade Divac,1134,11.8,8.2,3.1
Juan Dixon,436,8.4,1.9,1.8
Earl Dodd,9,1.7,-,0.7
Michael Doleac,587,4.9,3.3,0.6
Joe Dolhon,77,6.4,1.4,2.3
Bob Doll,196,8.4,-,1.4
James Donaldson,957,8.6,7.8,0.8
Luka Dončić,414,28.7,8.6,8.3
Bob Donham,273,6.7,3.9,2.6
Billy Donovan,44,2.4,0.6,2.0
Harry Donovan,45,5.6,-,0.8
Keyon Dooling,728,7.0,1.3,2.2
Aleksandar Djordjevic,8,3.1,0.6,0.6
Jacky Dorsey,60,2.4,2.4,0.3
Joey Dorsey,130,2.6,3.9,0.4
Ron Dorsey,1,4.0,5.0,0.0
Tyler Dorsey,107,6.6,2.3,1.3
Luguentz Dort,310,12.6,3.9,1.6
Ayo Dosunmu,253,10.0,2.9,3.1
Damyean Dotson,213,7.5,2.5,1.5
Devon Dotson,28,2.0,0.9,1.1
Quincy Douby,143,4.1,1.1,0.7
Bruce Douglas,8,1.8,1.8,2.1
John Douglas,67,6.7,1.4,2.2
Leon Douglas,456,7.9,6.5,1.1
Sherman Douglas,765,11.0,2.2,5.9
Toney Douglas,394,7.6,2.2,2.3
Chris Douglas-Roberts,222,7.1,2.1,1.1
Sekou Doumbouya,96,5.6,2.8,0.7
Sonny Dove,222,11.1,6.0,1.0
Jerry Dover,4,2.0,0.0,0.3
Zabian Dowdell,24,5.0,0.8,2.1
Bill Downey,3,0.0,-,0.0
Steve Downing,27,2.4,1.5,0.4
Jeff Dowtin,54,2.7,1.3,1.4
Danny Doyle,4,4.0,2.0,0.8
Milton Doyle,10,3.4,1.8,1.0
PJ Dozier,125,5.6,2.7,1.6
Terry Dozier,9,2.4,1.7,0.3
Goran Dragić,946,13.3,3.0,4.7
Zoran Dragić,16,1.8,0.5,0.3
Greg Dreiling,474,2.1,2.1,0.4
Henri Drell,4,2.8,1.0,1.0
Bryce Drew,243,4.4,1.2,2.2
John Drew,739,20.7,6.9,1.7
Larry Drew,714,11.4,1.8,5.2
Larry Drew II,22,2.9,0.8,2.5
Clyde Drexler,1086,20.4,6.1,5.6
Nate Driggers,15,2.4,1.5,0.4
Terry Driscoll,274,4.1,4.1,0.8
Predrag Drobnjak,278,7.9,3.5,0.8
Ralph Drollinger,6,2.5,3.2,2.3
Andre Drummond,880,12.7,12.3,1.2
Dennis DuVal,50,1.9,0.6,0.7
Chris Duarte,170,7.9,2.7,1.3
Alex Ducas,4,0.0,0.0,0.0
Dick Duckett,34,3.9,1.6,1.4
Kevin Duckworth,684,11.8,5.8,0.9
Charles Dudley,361,5.3,3.0,3.4
Chris Dudley,886,3.9,6.2,0.4
Jared Dudley,904,7.3,3.2,1.5
Terry Duerod,143,6.7,1.1,1.2
Bob Duffy,17,1.1,-,0.0
Bob Duffy,94,4.3,1.1,1.8
Chris Duhon,606,6.5,2.3,4.4
Duje Dukan,1,6.0,4.0,1.0
David Duke Jr.,50,4.4,2.1,0.9
Walter Dukes,553,10.4,11.3,1.1
Joe Dumars,1018,16.1,2.2,4.5
Rich Dumas,1,2.0,1.0,0.0
Richard Dumas,102,10.6,3.4,1.1
Tony Dumas,156,7.3,1.3,1.2
Andy Duncan,136,5.5,2.1,0.7
Tim Duncan,1392,19.0,10.8,3.0
Mike Dunleavy,438,8.0,1.6,3.9
