Player,G,PTS,TRB,AST
Ledell Eackles,441,10.8,2.2,1.7
Jim Eakins,767,10.8,7.3,1.8
Acie Earl,193,5.1,2.7,0.3
Ed Earle,2,2.0,1.0,0.0
Cleanthony Early,56,4.3,2.2,0.8
Penny Early,1,0.0,0.0,0.0
Tari Eason,124,9.7,6.2,1.1
Mark Eaton,875,6.0,7.9,1.0
Jerry Eaves,168,6.7,1.2,2.5
Devin Ebanks,63,3.6,1.9,0.4
Bill Ebben,8,1.9,1.0,0.5
Al Eberhard,220,6.8,3.5,0.8
Ndudi Ebi,19,2.1,1.0,0.2
Roy Ebron,40,6.2,4.4,0.5
Jaime Echenique,1,0.0,0.0,0.0
Jarell Eddie,34,2.6,0.9,0.1
Patrick Eddie,4,1.0,0.3,0.0
Dike Eddleman,267,12.1,4.5,2.1
Kenton Edelin,10,1.1,2.6,1.0
Zach Edey,14,11.1,6.9,0.8
Charles Edge,155,7.7,6.3,0.7
Bobby Edmonds,75,7.7,5.0,0.4
Keith Edmonson,87,6.0,1.5,0.6
Tyus Edney,226,7.6,1.7,4.0
Anthony Edwards,320,23.2,5.2,4.1
Bill Edwards,3,2.0,4.7,1.3
Blue Edwards,704,10.8,3.4,2.0
Carsen Edwards,72,3.7,1.1,0.7
Corsley Edwards,10,2.7,2.5,0.3
Doug Edwards,85,2.4,1.8,0.7
Franklin Edwards,296,6.1,1.0,2.6
James Edwards,1168,12.7,5.1,1.3
Jay Edwards,4,1.8,0.5,1.0
John Edwards,65,1.5,1.0,0.1
Justin Edwards,1,4.0,2.0,1.0
Kessler Edwards,141,3.4,2.0,0.5
Kevin Edwards,604,10.9,2.7,2.7
Rob Edwards,2,1.5,1.5,0.0
Shane Edwards,2,1.0,1.0,0.0
Vince Edwards,2,1.5,1.0,0.0
Johnny Egan,712,7.8,1.8,3.0
Lonnie Eggleston,2,2.0,-,0.5
Bulbs Ehlers,99,8.1,-,1.8
Craig Ehlo,873,8.6,3.6,2.8
Rich Eichhorst,1,2.0,1.0,3.0
Howard Eisley,786,6.5,1.7,3.5
Obinna Ekezie,143,3.6,2.7,0.2
Khalid El-Amin,50,6.3,1.6,2.9
Don Eliason,1,0.0,-,0.0
Mario Elie,732,8.6,2.8,2.6
CJ Elleby,88,4.6,2.9,1.1
Ray Ellefson,6,1.0,2.7,0.0
Henry Ellenson,83,4.1,2.5,0.6
Wayne Ellington,770,8.0,2.1,1.1
Bob Elliott,141,7.0,3.6,1.4
Sean Elliott,742,14.2,4.3,2.6
Bo Ellis,168,3.6,2.9,0.7
Boo Ellis,118,5.1,5.2,0.7
Dale Ellis,1209,15.7,3.5,1.4
Harold Ellis,145,5.8,2.0,0.6
Joe Ellis,524,8.8,5.1,1.4
Keon Ellis,92,5.1,1.9,1.2
LaPhonso Ellis,624,11.9,6.5,1.6
LeRon Ellis,91,3.0,2.4,0.3
Leroy Ellis,1048,9.7,8.3,1.3
Monta Ellis,833,17.8,3.5,4.6
Pervis Ellison,474,9.5,6.7,1.5
Len Elmore,658,6.0,5.1,0.9
Francisco Elson,472,3.7,3.5,0.6
Darrell Elston,77,7.8,2.2,2.6
Melvin Ely,375,5.3,3.2,0.7
Joel Embiid,437,27.8,11.1,3.6
Wayne Embry,831,12.5,9.1,1.4
Andre Emmett,14,1.4,0.6,0.1
Ned Endress,16,0.9,-,0.3
Wayne Engelstad,11,2.5,1.5,0.6
Chris Engler,195,1.8,2.0,0.2
A.J. English,151,9.9,2.1,2.1
Alex English,1193,21.5,5.5,3.6
Claude English,18,1.5,1.1,0.3
Jo Jo English,50,3.6,1.1,0.9
Kim English,41,2.9,0.9,0.6
Scott English,105,5.6,4.0,1.0
Gene Englund,46,7.8,-,0.9
James Ennis III,395,6.7,3.3,0.9
Tyler Ennis,186,4.2,1.3,1.9
Ray Epps,13,2.0,0.4,0.2
Semih Erden,69,3.8,2.8,0.4
Bo Erias,18,8.2,4.6,1.4
Keith Erickson,766,9.5,4.5,2.6
Julius Erving,1243,24.2,8.5,4.2
Evan Eschmeyer,153,2.8,3.9,0.5
Jack Eskridge,23,2.8,-,0.6
Vincenzo Esposito,30,3.9,0.5,0.8
Drew Eubanks,338,5.8,4.6,1.0
Billy Evans,53,1.9,0.7,1.9
Bob Evans,47,3.0,-,1.2
Brian Evans,102,3.7,1.6,0.8
Earl Evans,36,4.4,2.1,1.0
Jacob Evans,59,2.8,1.1,0.9
Jawun Evans,56,4.2,1.7,2.0
Jeremy Evans,250,3.5,2.6,0.4
Maurice Evans,562,6.7,2.5,0.7
Mike Evans,591,7.7,1.4,2.6
Reggie Evans,809,4.1,7.1,0.6
Tyreke Evans,594,15.7,4.6,4.8
Tosan Evbuomwan,17,5.9,3.5,0.9
Daniel Ewing,127,3.4,1.2,1.4
Patrick Ewing,1183,21.0,9.8,1.9
Patrick Ewing,7,0.4,0.3,0.3
Dante Exum,300,6.1,2.0,2.2
Christian Eyenga,51,6.3,2.7,0.8
Festus Ezeli,170,4.2,4.3,0.4
Johnny Ezersky,135,7.6,-,1.3
