Player,G,PTS,TRB,AST
Joe Fabel,30,2.1,-,0.1
John Fairchild,165,6.6,3.2,0.7
Tacko Fall,37,2.2,2.4,0.2
Phil Farbman,48,3.2,-,0.8
Kenneth Faried,478,11.4,8.1,1.0
Dick Farley,211,6.5,2.5,1.8
Jordan Farmar,504,7.7,1.9,2.9
Desmon Farmer,11,2.4,0.6,1.0
Jim Farmer,136,5.3,1.4,0.8
Mike Farmer,423,6.7,4.6,1.3
Tony Farmer,101,5.3,3.2,0.8
Bob Faught,51,6.7,-,0.6
Vítor Luiz Faverani,37,4.4,3.5,0.4
Derrick Favors,790,10.6,7.1,1.1
Nick Fazekas,26,4.1,3.4,0.4
Dave Fedor,7,0.9,0.9,0.1
Bob Feerick,221,13.3,-,2.0
Butch Feher,48,5.2,1.5,0.8
Jamie Feick,201,4.5,7.1,0.7
Ron Feiereisel,10,3.0,0.6,0.6
George Feigenbaum,17,3.1,1.4,1.1
Dave Feitl,275,4.3,3.0,0.5
Kay Felder,58,3.8,1.0,1.3
Cristiano Felício,252,4.3,3.9,0.7
Carrick Felix,7,2.7,0.9,0.6
Noel Felix,12,1.5,1.1,0.2
Ray Felix,637,10.9,8.9,0.7
Raymond Felton,971,11.2,3.0,5.2
Jake Fendley,103,2.8,1.2,0.9
Warren Fenley,33,2.6,-,0.5
Desmond Ferguson,7,1.9,0.6,0.1
Terrance Ferguson,204,4.5,1.3,0.7
Rudy Fernández,249,9.1,2.4,2.2
Bruno Fernando,217,4.0,3.2,0.7
Eric Fernsten,218,2.4,1.7,0.4
Al Ferrari,371,6.8,2.2,2.5
Rolando Ferreira,12,0.8,1.1,0.1
Duane Ferrell,583,6.4,1.9,0.9
Yogi Ferrell,259,7.7,2.1,2.3
Arnie Ferrin,178,5.8,4.0,1.6
Bob Ferry,634,9.1,5.3,1.4
Danny Ferry,917,7.0,2.8,1.3
Kyrylo Fesenko,135,2.3,2.0,0.3
Bobby Fields,22,2.5,1.4,0.9
Kenny Fields,184,6.2,2.5,1.0
Landry Fields,255,6.8,4.3,1.6
Ron Filipek,19,2.3,1.3,0.4
Kyle Filipowski,14,7.3,4.7,2.1
Greg Fillmore,49,2.4,2.2,0.4
Larry Finch,128,8.6,1.7,2.4
Hank Finkel,551,5.1,3.9,0.8
Michael Finley,1103,15.7,4.4,2.9
Danny Finn,142,7.3,3.9,4.0
Dorian Finney-Smith,543,8.3,4.6,1.5
Matt Fish,50,3.5,2.2,0.5
Derek Fisher,1287,8.3,2.1,3.0
Rick Fisher,12,3.1,2.7,0.4
Gerald Fitch,18,4.7,1.7,1.8
Malik Fitts,18,1.3,1.1,0.3
Bob Fitzgerald,78,3.1,-,0.6
Dick Fitzgerald,61,4.5,-,0.7
Marcus Fizer,289,9.6,4.6,1.2
Adam Flagler,11,1.4,0.5,0.4
Jerry Fleishman,262,5.8,4.6,1.6
Al Fleming,20,2.0,1.5,0.4
Ed Fleming,292,8.6,5.2,1.9
Vern Fleming,893,11.3,3.4,4.8
Luis Flores,16,2.2,0.2,0.7
Bruce Flowers,53,4.9,3.4,0.9
Sleepy Floyd,957,12.8,2.6,5.4
Jonny Flynn,163,9.2,1.9,3.9
Malachi Flynn,213,5.5,1.7,1.9
Mike Flynn,211,6.2,2.1,2.2
Larry Fogle,2,1.0,1.5,0.0
Jack Foley,11,4.8,1.5,0.5
Isaac Fontaine,6,1.8,0.8,0.7
Levi Fontaine,35,3.8,0.4,0.6
Simone Fontecchio,137,8.4,2.8,1.2
Jeff Foote,4,1.0,1.5,0.0
Bryn Forbes,431,8.8,1.7,1.2
Gary Forbes,111,5.8,2.0,0.9
Aleem Ford,5,2.8,3.0,0.4
Alphonso Ford,11,3.2,1.8,0.9
Alton Ford,73,2.5,1.7,0.2
Bob Ford,9,1.6,1.3,0.4
Chris Ford,794,9.2,3.0,3.4
Don Ford,474,6.4,3.6,1.4
Jake Ford,31,4.1,0.6,1.1
Jordan Ford,6,2.0,0.3,0.3
Phil Ford,482,11.6,1.8,6.4
Sharrod Ford,3,1.3,1.0,0.0
Sherell Ford,28,3.2,0.9,0.2
T.J. Ford,429,11.2,3.1,5.8
Donnie Forman,44,4.1,-,1.7
Bayard Forrest,139,4.1,4.1,2.1
Trent Forrest,151,2.8,1.5,1.9
Joseph Forte,25,1.2,0.7,0.7
Courtney Fortson,10,3.5,1.5,1.0
Danny Fortson,440,8.2,7.2,0.7
Fred Foster,524,7.8,2.4,1.1
Greg Foster,656,3.9,2.6,0.5
Jeff Foster,764,4.9,6.9,0.9
Jimmy Foster,89,3.7,1.3,2.1
Michael Foster Jr.,1,0.0,0.0,0.0
Rod Foster,207,7.5,1.2,2.3
Antonis Fotsis,28,3.9,2.2,0.4
Evan Fournier,704,13.6,2.7,2.5
Larry Foust,817,13.7,9.8,1.7
Calvin Fowler,78,4.4,2.2,1.6
Jerry Fowler,6,1.5,1.7,0.3
Tremaine Fowlkes,103,2.9,2.2,0.5
De'Aaron Fox,489,21.5,3.9,6.1
Harold Fox,10,3.1,0.8,1.0
Jim Fox,743,9.3,7.4,1.6
Rick Fox,930,9.6,3.8,2.8
Randy Foye,752,10.3,2.2,2.8
Adonal Foyle,733,4.1,4.7,0.5
Richie Frahm,140,3.6,1.2,0.6
Steve Francis,576,18.1,5.6,6.0
Tellis Frank,264,6.5,3.9,1.0
Nat Frankel,6,2.7,-,0.5
Bill Franklin,107,6.1,3.7,0.6
Jamaal Franklin,24,1.8,1.0,0.4
Robert Franks,7,6.1,2.0,0.7
Ron Franz,403,11.7,5.3,1.7
Melvin Frazier,32,2.7,0.9,0.2
Michael Frazier,13,2.1,0.8,0.2
Tim Frazier,289,4.9,2.3,4.0
Walt Frazier,825,18.9,5.9,6.1
Will Frazier,153,9.8,7.1,1.1
Anthony Frederick,147,4.9,1.9,0.9
Jimmer Fredette,241,6.0,1.0,1.4
World B. Free,886,20.3,2.7,3.7
Enes Freedom,748,11.2,7.8,0.9
Joel Freeland,151,3.2,3.4,0.4
Donnie Freeman,648,18.9,3.5,3.5
Enrique Freeman,11,1.8,0.9,0.5
Gary Freeman,52,3.2,2.0,0.7
Rod Freeman,35,3.0,1.5,0.4
Javon Freeman-Liberty,22,7.0,3.2,1.8
Matt Freije,42,3.2,2.0,0.6
Frido Frey,23,3.8,-,0.6
Larry Friend,44,4.0,2.4,1.1
Pat Frink,48,2.6,0.9,1.1
Jim Fritsche,84,3.9,3.0,0.9
Channing Frye,890,8.7,4.5,1.0
Bernie Fryer,120,6.3,1.9,3.0
Frank Fucarino,28,5.0,-,0.3
Alex Fudge,6,2.5,0.8,0.0
Herm Fuetsch,42,2.6,-,0.4
Joe Fulks,489,16.4,5.3,1.2
Carl Fuller,76,5.7,4.7,0.8
Hiram Fuller,4,2.0,2.8,0.5
Todd Fuller,225,3.7,3.0,0.2
Tony Fuller,15,4.0,2.8,1.9
Markelle Fultz,234,11.1,3.4,4.6
Lawrence Funderburke,318,6.4,3.6,0.6
Andrew Funk,5,0.0,0.0,0.0
Terry Furlow,239,10.7,2.1,2.4
Johnny Furphy,11,2.4,1.1,0.5
