Player,G,PTS,TRB,AST
Bill Gabor,307,9.8,1.8,2.0
Wenyen Gabriel,150,4.4,3.4,0.5
Dan Gadzuric,527,4.7,4.4,0.4
Daniel Gafford,339,8.9,5.5,1.0
Deng Gai,2,0.0,0.0,0.0
Elmer Gainer,20,1.5,-,0.5
Bill Gaines,1,2.0,1.0,0.0
Corey Gaines,80,3.1,0.9,3.1
Reece Gaines,71,1.7,0.7,0.7
Smokey Gaines,3,3.3,3.3,0.0
Sundiata Gaines,113,4.5,1.5,1.8
Mike Gale,842,7.4,2.9,3.7
Chad Gallagher,2,3.0,0.0,0.0
Harry Gallatin,682,13.0,11.9,1.8
Gene Gallette,14,0.6,-,0.1
Danilo Gallinari,777,14.9,4.7,1.9
Langston Galloway,452,8.1,2.4,1.6
Dave Gambee,750,10.6,5.2,1.0
Kevin Gamble,649,9.5,2.2,2.0
Bob Gantt,23,3.1,-,0.2
Jorge Garbajosa,74,8.0,4.7,1.7
Rubén Garcés,13,1.2,2.2,0.4
Alex Garcia,10,4.7,1.5,1.8
Francisco García,549,7.9,2.6,1.4
Chuck Gardner,42,4.7,3.2,0.3
Earl Gardner,50,1.8,-,0.4
Ken Gardner,9,1.6,1.4,0.3
Thomas Gardner,20,2.3,0.6,0.2
Vern Gardner,151,8.9,4.0,1.6
Jack Garfinkel,92,5.2,-,1.5
Patricio Garino,5,0.0,1.4,0.0
Darius Garland,326,18.6,2.6,6.7
Gary Garland,78,4.3,1.8,1.9
Winston Garland,511,9.4,2.8,4.7
Dick Garmaker,421,13.3,4.2,2.6
Bill Garner,53,1.5,2.2,0.5
Chris Garner,46,1.6,0.8,1.4
Bill Garnett,300,5.5,4.3,1.3
Kevin Garnett,1462,17.8,10.0,3.7
Marlon Garnett,24,2.1,0.9,0.8
Billy Garrett,4,6.5,0.8,1.8
Calvin Garrett,166,5.2,2.6,1.5
Dean Garrett,359,4.8,5.0,0.6
Diante Garrett,90,3.2,1.2,1.7
Dick Garrett,339,10.3,3.0,2.5
Marcus Garrett,12,1.1,1.9,0.6
Rowland Garrett,263,5.1,2.3,0.4
Tom Garrick,251,5.4,2.0,3.4
John Garris,33,4.0,2.3,0.3
Kiwane Lemorris Garris,31,2.3,0.6,1.0
Pat Garrity,552,7.3,2.6,0.8
Usman Garuba,105,2.6,3.8,0.8
Jim Garvin,6,0.3,0.8,0.0
Luka Garza,89,5.3,2.2,0.5
Marc Gasol,891,14.0,7.4,3.4
Pau Gasol,1226,17.0,9.2,3.2
Frank Gates,64,4.5,-,1.4
Kaiser Gates,1,0.0,1.0,0.0
Chris Gatling,700,10.3,5.3,0.7
Kenny Gattison,494,7.9,4.7,0.9
Rudy Gay,1120,15.8,5.6,2.0
Ed Gayda,15,3.7,2.6,0.9
Andrew Gaze,26,1.7,0.5,0.4
Michael Gbinije,9,0.4,0.3,0.2
Reggie Geary,101,2.1,0.8,1.1
Alonzo Gee,417,6.6,3.3,1.1
Matt Geiger,552,9.2,5.7,0.7
Mickaël Gelabale,145,4.6,2.3,0.8
Devean George,630,5.6,3.1,0.9
Jack George,506,10.2,4.2,4.3
Keyonte George,92,13.6,2.8,4.7
Kyshawn George,17,8.2,4.1,2.7
Paul George,875,20.7,6.3,3.7
Tate George,177,4.2,1.0,1.8
Marcus Georges-Hunt,47,1.6,0.5,0.2
Gus Gerard,446,8.4,4.1,1.3
Derrick Gervin,77,8.8,2.3,0.5
George Gervin,1060,25.1,5.3,2.6
Gorham Getchell,16,0.3,-,0.0
John Gianelli,541,7.8,5.9,1.5
Dick Gibbs,333,5.2,1.9,0.8
Daniel Gibson,397,7.8,2.0,2.0
Dee Gibson,44,6.4,-,2.9
Hoot Gibson,32,5.5,-,1.2
Jonathan Gibson,21,6.7,1.2,1.4
Mel Gibson,9,1.4,0.4,0.7
Mike Gibson,64,1.6,1.7,0.2
Taj Gibson,976,8.5,5.8,1.0
J.R. Giddens,38,1.9,1.4,0.3
Josh Giddey,231,13.7,7.2,5.8
Trey Gilder,2,1.0,0.5,0.0
Harry Giles,165,5.4,3.5,1.1
Shai Gilgeous-Alexander,405,23.2,4.8,4.9
Anthony Gill,191,3.5,1.8,0.6
Eddie Gill,187,3.1,1.1,1.2
Kendall Gill,966,13.4,4.1,3.0
Ben Gillery,24,1.0,1.0,0.1
Collin Gillespie,25,3.6,0.8,1.1
Freddie Gillespie,29,4.6,4.6,0.5
Jack Gillespie,2,1.0,3.5,0.0
Armen Gilliam,929,13.7,6.9,1.2
Herm Gilliam,578,10.8,3.8,3.8
Artis Gilmore,1329,18.8,12.3,2.3
Walt Gilmore,27,2.1,2.7,0.4
Chuck Gilmur,239,5.8,4.7,1.5
Jacob Gilyard,42,4.2,1.2,3.4
Manu Ginóbili,1057,13.3,3.5,3.8
Gordan Giriček,384,9.6,2.5,1.5
Jack Givens,156,6.7,2.9,0.9
Mickell Gladness,26,2.2,2.2,0.2
George Glamack,11,9.3,-,1.7
Gerald Glass,201,7.7,2.5,1.5
Mike Glenn,593,7.6,1.2,1.6
Normie Glick,1,2.0,-,0.0
Georgi Glouchkov,49,4.9,3.3,0.7
Clarence Glover,25,2.6,1.8,0.2
Dion Glover,294,8.2,3.1,1.5
Andreas Glyniadakis,13,1.3,0.6,0.1
Mike Gminski,938,11.7,6.9,1.3
Rudy Gobert,776,12.6,11.8,1.3
Dan Godfread,11,1.2,0.2,0.0
Tom Gola,698,11.3,8.0,4.2
Ben Goldfaden,2,1.0,-,0.0
Anthony Goldwire,266,6.3,1.3,2.8
Ryan Gomes,487,10.1,4.6,1.5
Glen Gondrezick,435,5.8,4.5,1.4
Grant Gondrezick,91,5.0,1.6,1.3
Drew Gooden,790,11.0,7.1,1.1
Gail Goodrich,1031,18.6,3.2,4.7
Steve Goodrich,21,1.1,1.2,0.5
Archie Goodwin,165,6.3,2.0,1.2
Brandon Goodwin,133,4.7,1.6,1.9
Jordan Goodwin,121,6.4,3.8,2.7
Pop Goodwin,79,4.4,-,0.3
Aaron Gordon,676,13.5,6.3,2.7
Ben Gordon,744,14.9,2.5,2.5
Drew Gordon,9,1.9,2.0,0.2
Eric Gordon,901,15.5,2.3,2.7
Lancaster Gordon,201,5.6,1.3,1.5
Paul Gordon,4,0.8,-,0.8
Marcin Gortat,806,9.9,7.9,1.1
Jazian Gortman,4,1.5,0.3,0.0
Leo Gottlieb,84,5.5,-,0.4
Andrew Goudelock,49,4.0,0.7,0.5
Gerald Govan,681,7.7,10.5,3.2
Bato Govedarica,23,3.3,0.8,1.0
Joe Graboski,845,11.0,8.1,1.8
Ricky Grace,3,1.3,0.3,0.3
Calvin Graham,8,1.6,1.3,0.0
Devonte' Graham,336,11.1,2.3,4.3
Greg Graham,207,4.5,1.1,1.0
Joey Graham,377,5.9,2.8,0.5
Mal Graham,70,4.7,1.7,1.1
Orlando Graham,7,1.1,1.6,0.0
Paul Graham,179,8.4,2.4,2.0
Stephen Graham,239,4.0,1.8,0.5
Treveon Graham,180,4.2,2.2,0.8
Jim Grandholm,26,3.0,1.9,0.3
Ron Grandison,105,2.4,1.6,0.6
Danny Granger,586,16.8,4.9,1.9
Stewart Granger,80,4.0,1.0,2.2
Brian Grant,756,10.5,7.4,1.2
Bud Grant,96,2.6,1.9,0.9
Gary Grant,552,7.9,2.3,5.5
Greg Grant,274,2.8,0.9,2.7
Harvey Grant,783,9.9,4.4,1.6
Horace Grant,1165,11.2,8.1,2.2
Jerami Grant,690,13.1,3.9,1.6
Jerian Grant,279,6.1,1.9,2.9
Josh Grant,53,3.0,1.7,0.5
Paul Grant,16,1.8,1.1,0.2
Travis Grant,201,13.8,4.1,1.0
Donte Grantham,3,0.0,0.0,0.0
Don Grate,2,2.0,-,1.5
Butch Graves,4,1.3,0.5,0.3
Hassani Gravett,8,6.3,2.6,2.5
Aaron Gray,318,3.4,3.7,0.7
Devin Gray,27,2.5,1.4,0.3
Ed Gray,60,6.2,1.2,0.8
Evric Gray,5,2.6,0.6,0.4
Gary Gray,44,2.4,0.5,0.6
Josh Gray,7,4.9,1.7,2.0
Leonard Gray,224,10.8,5.2,2.2
RaiQuan Gray,4,9.8,4.0,3.3
Stuart Gray,386,2.3,2.6,0.4
Sylvester Gray,55,8.0,5.2,2.1
Wyndol Gray,67,5.4,-,0.7
Jeff Grayer,438,7.4,3.0,1.4
Bob Greacen,47,2.4,1.4,0.9
A.C. Green,1278,9.6,7.4,1.1
A.J. Green,108,5.0,1.3,0.6
Danny Green,832,8.7,3.4,1.5
Devin Green,27,0.9,0.9,0.3
Draymond Green,831,8.7,7.0,5.6
Erick Green,52,3.1,0.7,0.8
Gerald Green,658,9.7,2.5,0.9
Jalen Green,245,19.7,4.2,3.3
