Player,G,PTS,TRB,AST
Rui Hachimura,292,12.7,4.9,1.3
Rudy Hackett,28,5.5,3.3,1.1
Hamed Haddadi,151,2.2,2.5,0.3
Jim Hadnot,77,17.5,12.2,1.8
Scott Haffner,50,4.3,1.1,1.8
Cliff Hagan,839,17.7,6.6,3.2
Glenn Hagan,4,1.8,1.0,2.0
Tom Hagan,73,4.9,1.5,1.8
Ashton Hagans,21,3.8,2.1,2.6
Robert Hahn,10,1.0,-,0.1
Al Hairston,42,2.2,1.0,1.0
Happy Hairston,776,14.8,10.3,1.6
Lindsay Hairston,47,5.8,3.8,0.4
Malik Hairston,62,2.4,1.2,0.5
P.J. Hairston,111,6.0,2.4,0.5
Marcus Haislip,89,3.5,1.5,0.2
Chick Halbert,303,8.8,7.9,1.4
Swede Halbrook,143,5.5,6.6,0.4
Bruce Hale,142,9.1,1.9,3.0
Hal Hale,72,5.0,2.9,2.0
Jack Haley,341,3.5,2.7,0.2
Tyrese Haliburton,280,17.3,3.7,8.7
Shaler Halimon,254,6.2,3.1,1.7
Devon Hall,11,1.8,0.6,1.2
Donta Hall,22,5.1,4.5,0.7
Jordan Hall,9,3.1,1.3,1.2
Josh Hall,21,4.1,2.8,1.3
Mike Hall,2,1.0,1.0,0.5
PJ Hall,4,0.5,0.0,0.0
Tyler Hall,1,0.0,0.0,0.0
Jeff Halliburton,92,6.1,1.6,1.3
Darvin Ham,417,2.7,2.3,0.5
Steve Hamer,35,2.2,1.7,0.2
Dale Hamilton,14,1.8,-,1.2
Daniel Hamilton,25,2.8,2.1,1.2
Dennis Hamilton,144,4.6,3.1,0.8
Joe Hamilton,344,12.0,2.6,3.5
Jordan Hamilton,151,5.9,2.8,0.8
Justin Hamilton,113,6.1,3.6,0.8
Ralph Hamilton,48,6.0,-,1.7
Richard Hamilton,921,17.1,3.1,3.4
Roy Hamilton,73,4.6,1.5,2.6
Steve Hamilton,82,4.5,3.4,0.5
