Player,G,PTS,TRB,AST
Marc Iavaroni,531,4.4,3.2,1.0
Serge Ibaka,919,12.0,7.1,0.8
Oso Ighodaro,13,4.4,3.8,0.8
Andre Iguodala,1231,11.3,4.9,4.2
Zydrunas Ilgauskas,843,13.0,7.3,1.1
Mile Ilić,5,0.0,0.2,0.0
D.J. Mbenga,234,1.8,1.5,0.2
Ersan İlyasova,825,10.1,5.6,1.1
Darrall Imhoff,801,7.2,7.6,1.8
Tom Ingelsby,75,3.2,1.3,1.0
Joe Ingles,711,8.0,3.1,3.6
Damien Inglis,20,1.8,1.6,0.5
Andre Ingram,6,4.0,1.3,1.2
Brandon Ingram,493,19.5,5.2,4.3
Harrison Ingram,1,0.0,1.0,0.0
McCoy Ingram,24,2.8,4.8,0.8
Ervin Inniger,109,8.8,3.5,1.4
Byron Irvin,87,5.2,1.4,0.8
George Irvine,325,9.5,3.0,1.3
Kyrie Irving,747,23.6,4.0,5.7
Jonathan Isaac,223,8.2,5.1,0.8
Dan Issel,1218,22.6,9.1,2.4
Mike Iuzzolino,122,9.0,2.0,4.3
Allen Iverson,914,26.7,3.7,6.2
Willie Iverson,28,4.9,1.6,2.9
Jaden Ivey,171,16.1,3.7,4.5
Royal Ivey,492,3.3,1.1,1.0
Elvin Ivory,20,4.4,3.3,0.5
Wes Iwundu,226,4.4,2.5,0.9
