Player,G,PTS,TRB,AST
Warren Jabali,447,17.1,6.7,5.3
Jarrett Jack,867,10.8,2.9,4.6
Aaron Jackson,1,8.0,3.0,1.0
Al Jackson,2,0.0,0.0,0.5
Andre Jackson Jr.,74,2.5,2.3,1.0
Bobby Jackson,755,9.7,3.1,2.6
Cedric Jackson,12,1.7,0.7,1.2
Darnell Jackson,138,2.2,1.5,0.2
Demetrius Jackson,26,1.8,0.7,0.7
Frank Jackson,214,8.5,1.8,1.0
Greg Jackson,49,3.7,1.4,2.0
GG Jackson II,48,14.6,4.1,1.2
Isaiah Jackson,163,7.2,4.3,0.7
Jaren Jackson,431,5.5,1.8,1.2
Jaren Jackson Jr.,351,17.9,5.5,1.4
Jermaine Jackson,135,1.9,1.1,1.4
Jim Jackson,885,14.3,4.7,3.2
Josh Jackson,291,11.3,4.0,1.8
Justin Jackson,280,6.0,2.3,1.0
Luke Jackson,522,9.9,8.8,1.6
Luke Jackson,73,3.5,1.2,0.8
Marc Jackson,387,8.4,4.3,0.8
Mark Jackson,1296,9.6,3.8,8.0
Merv Jackson,262,11.6,3.3,3.1
Michael Jackson,89,2.1,0.8,2.2
Mike Jackson,264,10.2,5.7,1.0
Myron Jackson,8,1.4,0.4,0.8
Phil Jackson,807,6.7,4.3,1.1
Pierre Jackson,8,4.4,1.1,2.4
Quenton Jackson,24,6.3,1.5,1.9
Ralph Jackson,1,2.0,1.0,4.0
Randell Jackson,28,4.1,1.9,0.3
Reggie Jackson,862,12.5,2.8,4.2
Stanley Jackson,17,2.2,1.6,0.9
Stephen Jackson,858,15.1,3.9,3.1
Tony Jackson,138,15.9,5.4,2.0
Tony Jackson,2,1.0,1.0,1.0
Tracy Jackson,129,5.4,1.9,1.0
Wardell Jackson,56,4.3,2.4,0.5
Trayce Jackson-Davis,86,8.0,5.0,1.4
Fred Jacobs,18,2.8,-,0.3
Casey Jacobsen,287,5.2,1.8,1.1
Sam Jacobson,68,4.2,1.2,0.5
Dave Jamerson,90,3.4,0.9,0.7
Aaron James,356,10.8,4.1,1.0
Bernard James,92,2.2,2.3,0.1
Billy James,1,2.0,0.0,1.0
Bronny James,6,0.7,0.2,0.3
Damion James,39,3.8,3.4,0.7
Gene James,88,3.4,2.9,1.1
Henry James,212,6.1,1.5,0.4
Jerome James,358,4.3,3.1,0.3
Justin James,72,3.2,0.9,0.6
LeBron James,1511,27.1,7.5,7.4
Mike James,595,9.9,2.2,3.5
Mike James,49,8.9,2.5,3.7
Tim James,43,1.6,1.1,0.3
Antawn Jamison,1083,18.5,7.5,1.6
Harold Jamison,37,1.9,1.6,0.3
John Janisch,70,10.5,-,0.7
Howie Janotta,9,3.4,-,0.4
Jaime Jaquez Jr.,88,11.4,4.1,2.6
Marko Jarić,447,7.1,2.7,3.6
Tony Jaros,242,5.4,2.1,0.9
DeJon Jarreau,10,4.3,4.4,2.6
Jim Jarvis,125,5.8,1.9,1.2
Šarūnas Jasikevičius,138,6.8,1.6,2.9
Nathan Jawai,45,2.8,2.4,0.5
Buddy Jeannette,139,7.2,-,2.1
Abdul Jeelani,143,9.0,3.5,1.1
Chris Jefferies,72,3.9,1.2,0.4
Othyus Jeffers,37,3.8,2.6,0.6
Al Jefferson,915,15.7,8.4,1.5
Amile Jefferson,30,1.4,1.5,0.2
Cory Jefferson,58,3.5,2.8,0.3
Dontell Jefferson,6,4.8,2.0,1.5
Richard Jefferson,1181,12.6,4.0,2.0
DaQuan Jeffries,64,3.0,1.5,0.5
Jared Jeffries,629,4.8,4.1,1.3
Trey Jemison,37,5.5,4.5,0.9
Charles Jenkins,110,3.7,0.9,1.9
Daniss Jenkins,2,0.0,0.0,0.0
Horace Jenkins,15,2.8,0.6,0.6
John Jenkins,171,5.0,1.5,0.8
Brandon Jennings,555,14.1,3.0,5.7
Keith Jennings,164,6.6,1.5,3.7
Chris Jent,6,6.2,2.7,1.3
Les Jepsen,52,1.0,1.3,0.0
Jonas Jerebko,635,6.2,4.0,0.8
Ty Jerome,179,7.5,1.9,2.7
Grant Jerrett,8,2.0,1.1,0.4
Eugene Jeter,62,4.1,1.1,2.6
Hal Jeter,5,0.4,0.2,0.0
Yi Jianlian,272,7.9,4.9,0.7
Isaiah Joe,264,6.9,1.9,1.0
Britton Johnsen,26,2.1,2.1,0.6
AJ Johnson,4,0.5,0.3,0.3
Alexander Johnson,102,4.3,2.7,0.3
Alize Johnson,76,2.5,3.0,0.4
Amir Johnson,870,7.0,5.4,1.2
Andy Johnson,292,9.8,4.1,2.3
Anthony Johnson,793,5.6,1.7,2.9
Armon Johnson,47,3.3,1.0,1.2
Arnie Johnson,332,8.7,6.2,2.2
Avery Johnson,1054,8.4,1.7,5.5
B.J. Johnson,21,3.8,1.8,0.1
Brice Johnson,21,2.2,1.6,0.1
Buck Johnson,505,9.1,3.5,1.7
Cameron Johnson,303,12.1,3.9,1.8
Carldell Johnson,15,1.8,0.6,1.5
Charles Johnson,521,8.1,2.5,1.9
Cheese Johnson,9,3.0,1.6,0.2
Chris Johnson,71,2.9,1.9,0.2
Chris Johnson,147,4.4,2.0,0.6
Clay Johnson,80,2.8,1.2,0.6
Clemon Johnson,761,5.4,4.6,1.0
Dakari Johnson,31,1.8,1.1,0.3
Darryl Johnson,11,1.1,0.2,0.1
Dave Johnson,59,3.5,1.1,0.3
David Johnson,2,0.0,0.0,0.0
DeMarco Johnson,5,1.2,1.4,0.0
Dennis Johnson,1100,14.1,3.9,5.0
DerMarr Johnson,344,6.2,2.2,0.9
Ed Johnson,166,12.3,10.2,1.1
Eddie Johnson,675,15.1,2.3,5.1
Eddie Johnson,1199,16.0,4.0,2.1
Eric Johnson,48,1.1,0.6,1.3
Ervin Johnson,845,4.1,6.1,0.5
Frank Johnson,596,8.3,1.7,4.2
George Johnson,136,3.7,5.0,0.6
George Johnson,904,4.8,6.5,1.0
George Johnson,464,9.1,5.6,1.8
Gus Johnson,631,16.2,12.1,2.5
Harold Johnson,27,0.6,-,0.4
Ivan Johnson,125,6.5,3.9,0.6
JaJuan Johnson,36,3.2,1.6,0.2
Jalen Johnson,167,10.3,5.9,2.3
James Johnson,777,7.5,3.5,2.1
Joe Johnson,1277,16.0,4.0,3.9
John Johnson,869,12.9,5.5,3.8
Kannard Johnson,4,0.5,0.0,0.0
Keldon Johnson,311,16.1,5.5,2.3
