Player,G,PTS,TRB,AST
Mfiondu Kabengele,55,2.6,1.5,0.3
Whitey Kachan,52,2.2,-,0.7
George Kaftan,212,7.5,3.1,1.9
Ed Kalafat,209,7.1,5.7,1.5
Georgios Kalaitzakis,13,6.6,1.6,0.9
Chris Kaman,735,11.2,7.6,1.3
Frank Kaminsky,413,8.8,3.8,1.6
Ralph Kaplowitz,105,5.6,-,0.5
Jason Kapono,509,6.7,1.7,0.8
Tony Kappen,59,6.5,-,0.5
Sergey Karasev,95,3.0,1.5,0.9
Coby Karl,24,2.4,1.3,1.0
George Karl,264,6.5,1.4,3.0
Ed Kasid,8,1.5,-,0.8
Mario Kasun,73,2.7,2.6,0.2
Leo Katkaveck,107,4.3,-,1.3
Bob Kauffman,525,11.5,7.0,2.7
Sasha Kaun,25,0.9,1.0,0.1
Wilbert Kautz,50,5.1,-,0.7
Yuki Kawamura,11,0.9,0.2,0.6
Clarence Kea,51,3.9,2.5,0.4
Mike Kearns,6,0.2,0.5,0.8
Tommy Kearns,1,2.0,0.0,0.0
Adam Keefe,617,5.0,4.1,0.7
Harold Keeling,20,2.2,0.3,0.5
Trevor Keels,3,1.0,0.7,0.0
Bill Keller,556,11.8,2.4,3.6
Gary Keller,122,6.0,4.5,0.4
Ken Keller,28,0.8,-,0.0
Rich Kelley,814,7.6,7.0,2.6
Clark Kellogg,260,18.9,9.5,2.9
Arvesta Kelly,188,8.0,2.6,1.8
Jerry Kelly,46,5.7,-,0.5
Ryan Kelly,163,6.0,3.1,1.3
Tom Kelly,27,7.1,-,1.4
Greg Kelser,305,9.7,4.6,1.3
Ben Kelso,46,1.8,0.7,0.4
Shawn Kemp,1051,14.6,8.4,1.6
Tim Kempton,280,4.5,2.8,1.1
Frank Kendrick,24,3.3,1.5,0.3
Luke Kennard,407,9.9,2.8,2.1
D.J. Kennedy,2,6.0,3.5,1.5
Goo Kennedy,333,8.2,5.6,0.9
Joe Kennedy,168,5.7,3.6,0.8
Pickles Kennedy,7,1.7,1.1,1.3
Larry Kenon,752,17.2,8.9,2.2
Billy Kenville,345,7.1,3.5,2.1
Jonathan Kerner,1,0.0,0.0,0.0
Red Kerr,905,13.8,11.2,2.2
Steve Kerr,910,6.0,1.2,1.8
Jack Kerris,271,7.6,6.3,2.5
Jerome Kersey,1153,10.3,5.5,1.9
Tom Kerwin,13,1.1,1.5,0.1
Alec Kessler,210,5.2,3.6,0.4
Walker Kessler,150,8.8,8.2,1.0
Lari Ketner,25,1.4,1.4,0.1
Braxton Key,34,3.1,2.0,0.6
Julius Keye,418,7.6,11.0,1.6
Randolph Keys,241,5.2,2.3,0.8
Viktor Khryapa,143,4.5,3.4,1.0
Jason Kidd,1391,12.6,6.3,8.7
Stanton Kidd,4,0.0,0.8,0.3
Warren Kidd,68,3.6,3.4,0.3
Michael Kidd-Gilchrist,446,8.4,5.4,1.2
Irv Kiffin,26,3.2,1.5,0.7
Jack Kiley,53,2.3,1.0,1.2
Earnie Killum,4,0.3,0.5,0.0
Carl Kilpatrick,2,1.5,2.0,0.0
Sean Kilpatrick,157,10.3,2.7,1.5
Toby Kimball,571,6.1,6.8,1.0
Bo Kimble,105,5.5,1.5,0.9
Stan Kimbrough,13,1.6,0.5,0.5
Chad Kinch,41,2.9,0.8,1.1
Albert King,534,12.1,4.2,2.2
Bernard King,874,22.5,5.8,3.3
Chris King,103,6.7,3.0,1.1
Dan King,12,1.6,2.1,0.3
Frankie King,13,2.1,1.2,0.5
George King,411,10.3,3.9,4.8
George King,5,0.2,1.2,0.0
Gerard King,126,4.5,3.1,0.7
Jim King,607,7.2,2.5,2.3
Jimmy King,64,4.5,1.8,1.4
Louis King,27,4.8,1.6,0.9
Loyd King,84,6.0,1.5,1.4
Maurice King,38,5.9,2.8,3.8
Reggie King,438,8.9,6.2,1.6
Rich King,72,1.9,1.0,0.3
Ron King,9,7.1,2.1,1.6
Stacey King,438,6.4,3.3,0.9
Tom King,58,5.1,-,0.6
Bob Kinney,118,9.5,-,1.5
Tarence Kinsey,109,4.7,1.3,0.5
Andrei Kirilenko,797,11.8,5.5,2.7
Alex Kirk,5,0.8,0.2,0.2
Walt Kirk,118,7.7,4.0,2.1
Wilbur Kirkland,2,3.0,5.5,0.5
Corey Kispert,248,10.9,2.8,1.4
Jim Kissane,2,3.0,1.5,0.0
Doug Kistler,5,1.6,0.2,0.0
Curtis Kitchen,6,1.5,1.5,0.2
Greg Kite,680,2.5,3.8,0.5
