Player,G,PTS,TRB,AST
Fred LaCour,144,6.5,3.3,1.9
Raef LaFrentz,563,10.1,6.1,1.1
Tom LaGarde,312,7.6,5.1,1.5
Jake LaRavia,90,7.3,3.2,1.7
Rusty LaRue,98,5.0,1.3,1.6
Rudy LaRusso,736,15.6,9.4,2.1
Zach LaVine,598,20.5,4.1,3.9
Skal Labissière,148,7.2,4.5,1.0
Reggie Lacefield,8,3.0,1.4,0.0
Edgar Lacey,46,5.1,3.9,0.7
Sam Lacey,1002,10.3,9.7,3.7
Bob Lackey,71,5.8,2.3,1.9
Wendell Ladner,300,11.6,8.3,2.1
Christian Laettner,868,12.8,6.7,2.6
Oliver Lafayette,1,7.0,4.0,2.0
Bill Laimbeer,1068,12.9,9.7,2.0
Pete Lalich,1,0.0,-,0.0
Bo Lamar,273,16.4,2.7,3.9
Anthony Lamb,88,6.2,3.3,1.4
Doron Lamb,100,3.5,1.0,0.8
Jeremy Lamb,573,10.1,3.6,1.6
John Lambert,446,3.8,3.3,0.6
Jeff Lamp,291,5.1,1.5,0.9
Maciej Lampe,64,3.4,2.2,0.3
Jim Lampley,1,3.0,5.0,0.0
Sean Lampley,45,4.5,2.1,0.7
Jock Landale,193,5.4,3.3,1.0
Carl Landry,513,10.8,4.9,0.7
Marcus Landry,18,2.4,1.1,0.0
Mark Landsberger,437,5.6,6.1,0.5
Jerome Lane,218,5.3,5.8,1.5
Andrew Lang,737,6.0,4.8,0.6
Antonio Lang,143,2.3,1.5,0.3
James Lang,11,1.0,1.0,0.2
Trajan Langdon,119,5.4,1.3,1.3
Keith Langford,2,1.0,1.0,0.0
Romeo Langford,141,4.6,2.1,0.7
Dan Langhi,133,3.0,1.5,0.3
Bob Lanier,959,20.1,10.1,3.1
Stu Lantz,547,12.4,3.3,2.9
Nicolás Laprovíttola,18,3.3,0.6,1.6
York Larese,59,5.1,1.3,1.6
Shane Larkin,256,5.5,1.9,2.9
Pelle Larsson,12,6.0,1.7,1.3
John Laskowski,118,7.1,2.4,0.8
Stéphane Lasme,16,5.2,3.3,0.2
Dave Lattin,263,7.2,5.1,0.7
Priest Lauderdale,74,3.4,1.9,0.4
Rich Laurel,10,2.4,1.0,0.3
Harry Laurie,9,1.4,1.7,0.9
Walt Lautenbach,55,4.3,-,1.3
Joffrey Lauvergne,208,5.6,3.8,0.9
Tony Lavelli,86,6.9,2.0,0.7
Bob Lavoy,264,8.2,6.2,1.5
Acie Law,188,3.9,1.0,1.6
Vic Law,8,1.9,1.4,0.4
Gani Lawal,1,0.0,0.0,0.0
Edmund Lawrence,3,4.0,1.3,0.3
A.J. Lawson,57,3.4,1.2,0.4
Jason Lawson,17,1.5,1.6,0.3
Ty Lawson,551,12.7,2.7,6.0
Jake Layman,243,4.8,1.7,0.5
Mo Layton,267,6.9,1.3,2.6
Caris LeVert,474,14.0,3.8,4.1
T.J. Leaf,146,3.3,1.9,0.3
Manny Leaks,446,11.9,9.0,1.1
Hal Lear,3,1.3,0.3,0.3
Allen Leavell,700,9.5,1.7,4.8
Jeff Lebo,4,1.5,1.0,0.8
Eric Leckner,449,4.1,3.2,0.5
Jalen Lecque,9,1.7,0.8,0.4
Ricky Ledo,28,3.9,1.4,0.8
Butch Lee,96,8.1,1.4,3.2
Clyde Lee,742,7.7,10.3,1.1
Courtney Lee,811,9.6,2.6,1.7
Damion Lee,294,8.2,3.4,1.4
Dave Lee,58,6.4,3.2,0.3
David Lee,829,13.5,8.8,2.2
Dick Lee,2,0.0,0.5,0.5
Doug Lee,73,2.3,0.6,0.4
George Lee,297,7.5,4.2,0.9
Greg Lee,10,2.4,0.5,2.4
Keith Lee,182,6.1,4.7,1.0
Kurk Lee,48,1.4,0.6,0.7
Malcolm Lee,36,3.9,1.8,1.4
Rock Lee,2,1.0,0.5,1.0
Ron Lee,448,7.3,2.7,3.8
Russ Lee,97,2.9,1.2,0.7
Saben Lee,134,5.2,1.9,2.8
Ed Leede,121,7.8,2.1,1.9
Hank Lefkowitz,24,2.1,-,0.2
Tim Legler,310,7.0,1.6,1.3
George Lehmann,376,11.9,1.6,4.5
Barry Leibowitz,82,10.9,2.1,3.7
Walt Lemon Jr.,11,9.4,2.6,3.2
Alex Len,659,6.9,5.4,0.9
Voshon Lenard,565,11.9,2.8,2.1
Leary Lentz,148,8.0,6.2,0.8
Gary Leonard,31,1.4,1.1,0.1
Kawhi Leonard,696,20.0,6.4,3.0
Meyers Leonard,456,5.6,3.9,0.9
Slick Leonard,426,9.9,2.9,3.3
Malevy Leons,6,0.3,0.5,0.2
Jim Les,321,3.8,1.2,2.9
Travis Leslie,10,1.4,0.9,0.5
Ronnie Lester,250,7.3,1.9,4.0
Clifford Lett,11,3.5,0.6,0.7
Jon Leuer,377,6.4,3.8,0.8
Andrew Levane,103,4.5,1.3,2.0
Fat Lever,752,13.9,6.0,6.2
Cliff Levingston,830,7.1,5.2,0.9
Bobby Lewis,255,5.8,2.1,2.2
Cedric Lewis,3,1.3,0.7,0.0
Freddie Lewis,95,8.4,-,1.4
Freddie Lewis,750,16.0,3.7,4.0
Grady Lewis,139,5.4,-,0.9
Kira Lewis Jr.,131,5.2,1.3,1.8
Martin Lewis,25,3.6,1.4,0.3
Maxwell Lewis,38,0.3,0.1,0.2
Mike Lewis,337,12.1,11.9,3.0
Quincy Lewis,159,3.6,1.3,0.6
Ralph Lewis,99,2.3,1.2,0.3
Rashard Lewis,1049,14.9,5.2,1.7
Reggie Lewis,450,17.6,4.3,2.6
Scottie Lewis,2,0.5,0.0,0.5
Marcus Liberty,267,7.3,3.5,0.9
Todd Lichti,237,7.9,2.1,1.4
E.J. Liddell,13,1.3,0.7,0.3
DeAndre Liggins,177,2.0,1.4,0.7
