Player,G,PTS,TRB,AST
Sheldon Mac,30,3.0,1.1,0.5
Todd MacCulloch,223,6.1,4.0,0.5
Ronnie MacGilvray,6,1.3,1.5,1.8
Don MacLean,319,10.9,3.8,1.3
Mike Macaluso,30,1.6,0.8,0.1
Ed Macauley,641,17.5,7.5,3.2
Scott Machado,10,1.8,0.1,0.9
Arvydas Macijauskas,19,2.3,0.5,0.3
Ollie Mack,128,7.2,2.5,1.8
Sam Mack,259,7.8,2.1,1.3
Shelvin Mack,456,6.6,2.0,3.1
Malcolm Mackey,22,1.5,1.1,0.0
Rudy Macklin,160,6.4,2.9,0.8
Vernon Macklin,23,2.0,1.5,0.2
Johnny Macknowski,117,7.0,1.9,1.1
Daryl Macon,12,2.7,1.0,0.7
Mark Macon,251,6.7,1.9,1.7
J.P. Macura,3,2.0,1.0,0.7
Kyle Macy,551,9.5,2.2,4.0
Jack Maddox,1,0.0,-,1.0
Tito Maddox,9,1.2,0.8,0.6
Gerald Madkins,48,1.7,0.5,1.4
Mark Madsen,453,2.2,2.6,0.4
Norm Mager,24,5.2,2.0,1.0
Josh Magette,26,2.2,1.0,2.4
Corey Maggette,827,16.0,4.9,2.1
Dave Magley,14,0.9,0.7,0.1
Jamaal Magloire,680,7.2,6.5,0.6
Will Magnay,1,0.0,0.0,0.0
Randy Mahaffey,321,11.9,8.0,1.6
Ian Mahinmi,618,5.2,4.4,0.6
John Mahnken,414,5.8,2.9,1.3
Brian Mahoney,19,3.1,0.7,0.6
Mo Mahoney,8,1.5,1.1,0.3
Rick Mahorn,1117,6.9,6.2,1.0
Dan Majerle,955,11.4,4.5,2.9
Renaldo Major,1,5.0,2.0,0.0
Thon Maker,263,4.6,2.8,0.6
Lionel Malamed,44,5.9,-,1.4
Théo Maledon,177,7.8,2.8,2.9
Jeff Malone,905,19.0,2.6,2.4
Karl Malone,1476,25.0,10.1,3.6
Moses Malone,1455,20.3,12.3,1.3
Matt Maloney,295,7.4,1.7,2.9
Steve Malovic,39,2.1,2.2,0.7
Mike Maloy,71,6.2,3.8,0.7
Sandro Mamukelashvili,145,4.7,3.2,1.0
Ted Manakas,5,2.4,0.6,0.4
John Mandic,81,4.1,-,1.1
Karim Mané,10,1.1,1.4,0.4
Frank Mangiapane,6,0.8,-,0.0
