Player,G,PTS,TRB,AST
Hamady N'Diaye,33,0.6,0.8,0.1
Makhtar N'Diaye,4,1.3,1.3,0.3
Mamadou N'Diaye,69,3.8,3.3,0.1
Boniface N'Dong,23,2.2,1.6,0.3
Bob Naber,4,0.3,1.3,0.3
Boris Nachamkin,6,3.3,3.2,0.5
Boštjan Nachbar,317,7.1,2.6,0.9
Abdel Nader,202,4.6,1.9,0.5
Jerry Nagel,14,0.9,-,1.3
Fritz Nagy,50,5.1,-,1.4
Lee Nailon,306,8.6,3.1,1.0
Eduardo Nájera,619,4.9,3.7,0.8
Larry Nance,920,17.1,8.0,2.6
Larry Nance Jr.,531,7.7,6.1,1.9
Pete Nance,8,0.4,0.4,0.0
Shabazz Napier,345,7.1,1.9,2.5
Paul Napolitano,1,0.0,-,0.0
Bob Nash,236,4.7,2.3,0.7
Cotton Nash,84,5.6,3.3,0.8
Steve Nash,1217,14.3,3.0,8.5
Swen Nater,722,12.4,11.6,1.7
Howard Nathan,5,2.6,0.0,0.4
Calvin Natt,599,17.2,6.8,2.2
Kenny Natt,49,3.1,0.8,0.8
Willie Naulls,716,15.8,9.1,1.6
Juan Carlos Navarro,82,10.9,2.6,2.2
Maurice Ndour,32,3.1,2.0,0.3
Craig Neal,63,2.5,0.7,2.5
Gary Neal,352,9.9,2.2,1.6
Jim Neal,80,4.4,3.8,0.4
Lloyd Neal,435,11.1,7.7,1.5
Ed Nealy,540,2.7,3.3,0.7
Nemanja Nedović,24,1.1,0.6,0.5
Al Negratti,11,2.8,-,0.5
Barry Nelson,28,1.3,0.7,0.3
DeMarcus Nelson,13,4.1,1.8,1.0
Don Nelson,1053,10.3,4.9,1.4
Jameer Nelson,878,11.3,3.0,5.1
Louie Nelson,224,9.4,2.4,1.9
Ron Nelson,59,3.2,0.9,0.8
Andrew Nembhard,150,9.2,2.4,4.4
RJ Nembhard Jr.,14,1.1,0.5,0.9
Ruben Nembhard,10,4.0,0.8,1.7
Dick Nemelka,39,5.5,1.5,1.5
Tyrone Nesby,255,9.5,3.7,1.5
Aaron Nesmith,249,8.4,3.2,1.0
Martin Nessley,44,1.1,1.9,0.4
Rasho Nesterović,811,6.8,5.1,1.0
Raul Neto,435,5.7,1.5,2.1
Bob Netolicky,618,16.0,8.9,1.4
Johnny Neumann,455,13.2,2.7,3.0
Paul Neumann,451,11.1,2.9,3.2
Chuck Nevitt,155,1.6,1.5,0.1
Melvin Newbern,33,3.6,1.1,1.7
Ivano Newbill,134,1.5,2.6,0.4
Ira Newble,380,5.1,2.9,0.9
Mike Newlin,837,14.9,3.0,4.0
Johnny Newman,1159,11.0,2.2,1.5
Malik Newman,2,5.0,0.5,0.5
Dave Newmark,176,5.7,3.9,0.7
Bill Newton,35,2.1,1.9,0.4
Tristen Newton,3,1.0,0.0,0.0
Georges Niang,485,7.1,2.4,0.9
Demetris Nichols,18,1.2,0.4,0.1
Jack Nichols,505,10.4,6.9,1.9
Andrew Nicholson,285,6.0,3.0,0.4
Gaylon Nickerson,4,3.8,1.3,0.3
Carl Nicks,156,6.8,1.9,1.6
Rich Niemann,187,6.6,5.8,0.8
Richie Niemiera,115,6.0,-,1.8
Mike Niles,44,2.6,1.3,0.3
Kurt Nimphius,564,6.4,4.4,1.2
Daishen Nix,96,3.4,1.4,1.9
Dyron Nix,20,2.0,1.3,0.3
Norm Nixon,768,15.7,2.6,8.3
Zeke Nnaji,206,4.3,2.3,0.4
Joakim Noah,672,8.8,9.0,2.8
Chuck Noble,411,8.0,2.6,3.3
Andrés Nocioni,514,10.5,4.5,1.2
David Noel,68,2.7,1.8,1.0
Nerlens Noel,467,7.1,6.1,1.1
Paul Noel,201,3.3,1.4,0.7
Lucas Nogueira,141,3.2,2.8,0.5
Jim Nolan,5,1.6,-,0.8
Paul Nolen,1,0.0,1.0,0.0
Jeff Nordgaard,13,1.4,1.1,0.2
Bevo Nordmann,133,4.3,3.9,0.5
Johnny Norlander,217,8.3,1.0,1.0
Connie Norman,99,6.0,1.5,0.9
Ken Norman,646,13.5,6.1,2.1
Audie Norris,187,4.4,3.1,0.8
Moochie Norris,445,5.1,2.0,2.8
Sylvester Norris,17,2.4,2.5,0.4
Zach Norvell,5,2.0,1.2,0.6
Willie Norwood,430,7.5,3.7,0.8
George Nostrand,221,8.2,-,0.8
Stan Noszka,110,6.0,-,0.6
Mike Novak,125,3.4,0.4,1.4
Steve Novak,467,4.7,1.3,0.3
Jaylen Nowell,205,8.9,2.2,1.9
Markquis Nowell,1,2.0,2.0,2.0
Mel Nowell,115,8.4,2.3,2.1
Dirk Nowitzki,1522,20.7,7.5,2.4
Frank Ntilikina,321,4.8,1.8,2.2
Kendrick Nunn,193,12.1,2.4,2.4
James Nunnally,37,2.6,0.9,0.5
Jusuf Nurkić,555,12.0,9.0,2.5
Dennis Nutt,25,2.3,0.3,0.6
David Nwaba,237,6.8,3.7,1.0
Jordan Nwora,206,7.6,3.2,1.0
Julius Nwosu,23,1.3,1.0,0.1
