Player,G,PTS,TRB,AST
Charles O'Bannon,48,2.5,1.4,0.6
Ed O'Bannon,128,5.0,2.5,0.8
John O'Boyle,5,4.2,2.0,1.0
Bob O'Brien,46,1.8,-,0.2
J.J. O'Brien,2,0.0,0.5,0.0
Jim O'Brien,58,4.6,2.4,1.5
Jimmy O'Brien,303,5.9,2.0,4.1
Ralph O'Brien,119,7.1,1.6,1.5
Johnny O'Bryant,147,3.5,2.4,0.5
Patrick O'Bryant,90,2.1,1.4,0.3
Dermie O'Connell,82,5.8,-,1.9
Andy O'Donnell,25,3.6,-,0.7
Buddy O'Grady,146,3.7,-,0.7
Fran O'Hanlon,14,1.6,0.3,0.9
Dick O'Keefe,172,5.2,2.2,0.9
Tommy O'Keefe,6,3.8,1.2,1.7
Mike O'Koren,407,8.2,3.4,2.1
Grady O'Malley,24,2.1,1.1,0.4
Jermaine O'Neal,1011,13.2,7.2,1.4
Shaquille O'Neal,1207,23.7,10.9,2.5
Royce O'Neale,543,6.9,4.9,2.4
Mike O'Neill,4,3.0,2.3,0.8
Kyle O'Quinn,472,5.4,4.6,1.4
Kevin O'Shea,174,5.2,2.3,2.1
Garland O'Shields,9,0.4,-,0.1
Dan O'Sullivan,45,1.8,1.4,0.2
Charles Oakley,1282,9.7,9.5,2.5
Fabricio Oberto,336,3.2,3.5,0.9
Daniel Ochefu,19,1.3,1.2,0.2
Greg Oden,105,8.0,6.2,0.5
Lamar Odom,961,13.3,8.4,3.7
Bud Ogden,74,3.5,1.4,0.6
Ralph Ogden,32,1.3,1.0,0.3
Alan Ogg,80,2.2,1.7,0.2
Don Ohl,727,15.9,3.0,3.1
Tim Ohlbrecht,3,1.0,0.3,0.3
Semi Ojeleye,284,3.4,2.2,0.4
Emeka Okafor,616,12.0,9.7,0.8
Jahlil Okafor,247,10.4,4.7,0.9
Chuma Okeke,189,6.3,3.7,1.5
Elie Okobo,108,4.8,1.7,2.2
Josh Okogie,386,6.3,3.0,1.2
Onyeka Okongwu,251,8.6,6.0,1.0
Isaac Okoro,297,8.3,2.8,1.7
KZ Okpala,98,2.3,1.5,0.5
Mehmet Okur,634,13.5,7.0,1.7
Victor Oladipo,504,16.9,4.5,3.9
Hakeem Olajuwon,1238,21.8,11.1,2.5
Mark Olberding,946,9.5,5.3,2.5
Jawann Oldham,329,4.4,4.1,0.5
John Oldham,127,7.3,3.6,1.8
Frank Oleynick,102,5.0,0.9,1.1
John Olive,35,1.3,0.6,0.1
Brian Oliver,118,3.3,1.0,1.0
Cameron Oliver,6,11.0,4.5,1.3
Dean Oliver,35,1.8,0.7,1.3
Jimmy Oliver,78,4.2,1.0,0.7
Kevin Ollie,662,3.8,1.5,2.3
Gene Ollrich,14,3.1,-,1.7
Michael Olowokandi,500,8.3,6.8,0.7
Bud Olsen,453,4.3,3.3,1.2
Kelly Olynyk,756,10.3,5.2,2.4
Eugene Omoruyi,87,5.7,2.3,0.7
Miye Oni,80,1.8,1.4,0.5
Arinze Onuaku,19,1.8,1.8,0.5
Chinanu Onuaku,6,3.0,2.3,0.7
Barry Orms,141,6.3,3.6,1.3
Johnny Orr,34,2.7,-,0.6
Louis Orr,569,9.7,3.7,1.5
José Ortiz,64,2.9,1.1,0.3
Daniel Orton,51,2.8,2.5,0.5
Chuck Osborne,4,1.3,2.3,0.3
Cedi Osman,476,9.3,3.0,2.0
Wally Osterkorn,204,7.0,6.0,1.7
Greg Ostertag,756,4.6,5.5,0.6
Matt Othick,4,2.0,0.5,1.8
Don Otten,219,10.5,6.0,1.4
Mac Otten,59,2.4,-,0.6
Daniel Oturu,33,1.9,1.6,0.3
Kelly Oubre Jr.,612,13.1,4.5,1.1
Bo Outlaw,914,5.4,4.9,1.6
Travis Outlaw,622,8.5,3.2,0.8
Claude Overton,15,3.9,1.7,1.0
Doug Overton,499,4.5,1.3,2.1
Andre Owens,54,3.6,1.3,1.0
Billy Owens,600,11.7,6.7,2.8
Chris Owens,1,4.0,1.0,0.0
Eddie Owens,8,2.6,1.3,0.6
Jim Owens,58,3.1,0.9,1.1
Keith Owens,20,1.3,0.8,0.2
Larry Owens,19,2.8,1.5,0.6
Red Owens,90,5.2,3.5,1.5
Tariq Owens,3,1.3,1.0,0.0
Tom Owens,877,11.3,6.8,1.7
Ray Owes,57,3.1,2.9,0.3
Olumide Oyedeji,93,1.4,2.1,0.1
