Player,G,PTS,TRB,AST
Joe Pace,79,3.2,2.1,0.3
Zaza Pachulia,1098,6.8,5.8,1.3
Robert Pack,552,8.9,2.0,4.6
Wayne Pack,21,2.9,1.0,0.6
Gerald Paddio,129,5.5,1.4,1.0
Scott Padgett,448,4.2,2.7,0.7
Dana Pagett,5,1.0,0.6,1.2
Jaysean Paige,1,0.0,1.0,1.0
Marcus Paige,5,2.4,0.8,0.6
Fred Paine,3,2.3,-,0.3
Milt Palacio,470,4.8,1.8,2.5
Togo Palazzi,324,7.4,3.4,0.7
Bud Palmer,148,11.7,-,1.3
Errol Palmer,63,7.9,7.5,1.4
Jim Palmer,196,8.1,5.3,0.8
Trayvon Palmer,1,0.0,2.0,0.0
Walter Palmer,48,2.1,1.4,0.2
Kevin Pangos,24,1.6,0.5,1.3
Andy Panko,1,0.0,0.0,0.0
Georgios Papagiannis,39,4.1,3.2,0.7
Kostas Papanikolaou,69,3.6,2.3,1.5
Jannero Pargo,499,6.4,1.4,2.0
Jeremy Pargo,86,4.8,1.0,1.8
Easy Parham,133,5.4,1.3,2.1
Robert Parish,1611,14.5,9.1,1.4
Med Park,313,6.1,3.1,1.7
Anthony Parker,494,9.1,3.2,2.3
Jabari Parker,310,14.1,5.5,2.0
Smush Parker,274,9.0,2.4,2.9
Sonny Parker,452,9.9,4.1,2.1
Tony Parker,1254,15.5,2.7,5.6
Barry Parkhill,173,5.6,1.3,2.2
Jack Parkinson,4,0.8,-,0.5
Charley Parks,2,0.0,0.0,0.0
Cherokee Parks,472,4.4,3.6,0.6
Rich Parks,40,3.3,2.9,0.4
Jack Parr,66,4.0,4.2,0.8
Doyle Parrack,58,4.7,-,0.3
Charlie Parsley,9,2.4,-,0.9
Chandler Parsons,440,12.7,4.5,2.7
Eric Paschall,158,9.8,3.2,1.4
Anžejs Pasečņiks,28,5.6,3.9,0.7
Žarko Paspalj,28,2.6,1.1,0.4
Marty Passaglia,53,2.8,-,0.5
George Pastushok,39,3.1,-,0.4
Myles Patrick,3,1.7,0.7,0.3
Stan Patrick,53,6.1,-,1.4
Andrae Patterson,40,3.0,1.7,0.4
George Patterson,59,2.0,2.7,0.9
Lamar Patterson,40,2.3,1.4,1.1
Patrick Patterson,719,6.7,3.9,1.0
Ruben Patterson,649,10.7,4.2,1.8
Steve Patterson,350,4.4,4.7,1.3
Tom Patterson,25,2.2,1.0,0.2
Worthy Patterson,4,1.8,0.5,0.5
Justin Patton,22,3.9,2.7,0.9
Brandon Paul,64,2.3,1.1,0.6
Chris Paul,1291,17.4,4.5,9.3
Charlie Paulk,120,6.2,3.9,0.3
Jerry Paulson,6,3.3,1.7,0.7
Billy Paultz,1124,11.7,8.0,2.0
Sasha Pavlović,567,4.9,1.8,0.9
Jim Paxson,138,8.0,4.5,1.6
Jim Paxson,784,14.3,2.0,2.9
John Paxson,772,7.2,1.2,3.6
Johnny Payak,120,6.3,1.7,1.9
Adreian Payne,107,4.0,2.9,0.6
Cameron Payne,420,7.9,2.1,3.3
Kenny Payne,144,3.5,1.2,0.4
Tom Payne,29,4.1,2.4,0.5
Elfrid Payton,505,10.1,4.0,5.8
Gary Payton,1335,16.3,3.9,6.7
Gary Payton II,226,5.1,2.7,1.1
Mel Payton,111,5.4,3.6,1.1
George Pearcy,37,2.5,-,0.4
Henry Pearcy,29,2.5,-,0.2
Oleksiy Pecherov,111,3.9,2.4,0.2
Wiley Peck,52,3.5,3.5,0.6
Rich Peek,51,4.6,3.9,0.4
Anthony Peeler,827,9.7,2.6,2.4
George Peeples,309,8.1,7.3,1.0
Nikola Peković,271,12.6,6.7,0.7
Jake Pelkington,54,11.1,-,2.4
Norvel Pelle,40,2.1,2.4,0.3
Sam Pellom,196,4.4,3.5,0.5
Mike Penberthy,56,4.9,1.2,1.3
Jerry Pender,11,2.5,0.5,0.4
Desmond Penigar,10,3.2,2.4,0.3
Kirk Penney,6,0.8,0.3,0.3
Mike Peplowski,68,2.9,2.6,0.4
Will Perdue,792,4.7,4.9,0.8
Mãozinha Pereira,7,6.9,5.3,0.3
Kendrick Perkins,782,5.4,5.8,1.0
Sam Perkins,1286,11.9,6.0,1.5
Warren Perkins,126,6.1,4.8,2.0
Kosta Perović,7,1.4,1.9,0.1
London Perrantes,14,0.5,0.3,0.4
Aulcie Perry,21,8.6,5.0,1.0
Curtis Perry,480,9.5,8.8,1.9
Elliot Perry,549,6.3,1.4,3.1
Reggie Perry,36,4.7,3.3,0.7
Ron Perry,187,11.9,2.8,2.2
Tim Perry,481,6.8,4.0,0.9
Chuck Person,943,14.7,5.1,2.8
Wesley Person,733,11.2,3.3,1.7
Alec Peters,20,4.1,1.9,0.6
Jim Petersen,491,6.9,4.8,1.0
Loy Petersen,69,2.9,1.0,0.7
Bob Peterson,103,4.7,3.8,0.8
Drew Peterson,6,1.8,0.3,0.3
Ed Peterson,115,7.0,5.4,0.9
Mel Peterson,134,7.7,4.7,1.2
Morris Peterson,711,10.7,3.5,1.5
Geoff Petrie,446,21.8,2.8,4.6
Johan Petro,473,4.7,3.9,0.5
Dražen Petrović,290,15.4,2.3,2.4
Filip Petrušev,3,1.0,0.3,0.0
Richard Petruška,22,2.4,1.4,0.0
Bob Pettit,792,26.4,16.2,3.0
Jerry Pettway,87,9.1,3.5,1.4
Roger Phegley,345,8.7,2.0,1.4
Jack Phelan,55,4.1,-,1.0
Jim Phelan,4,0.8,1.3,0.5
Derrick Phelps,3,0.0,0.0,0.3
Michael Phelps,132,3.6,1.1,1.0
Andy Phillip,701,9.1,4.4,5.4
Eddie Phillips,48,3.2,1.6,0.6
Gary Phillips,348,6.7,2.6,1.9
Gene Phillips,31,2.5,0.7,0.5
Julian Phillips,60,3.0,1.3,0.4
Bobby Phills,467,11.0,3.1,2.7
Eric Piatkowski,789,7.5,2.2,1.0
Walt Piatkowski,157,9.3,3.9,0.6
Jalen Pickett,29,1.4,0.5,0.7
Jamorko Pickett,13,3.8,2.5,0.5
Paul Pierce,1343,19.7,5.6,3.5
Ricky Pierce,969,14.9,2.4,1.9
Stan Pietkiewicz,96,3.9,1.0,1.8
Mickaël Piétrus,557,8.3,3.1,0.8
John Pilch,9,0.6,1.0,0.2
Ed Pinckney,793,6.8,5.0,0.9
Kevinn Pinkney,6,5.2,2.5,0.8
John Pinone,7,2.9,1.4,0.4
Theo Pinson,127,2.7,1.4,1.1
Dave Piontek,413,7.2,4.3,1.2
Tom Piotrowski,18,1.7,0.9,0.3
Scottie Pippen,1178,16.1,6.4,5.2
Scotty Pippen Jr.,47,11.1,3.2,4.5
Charles Pittman,234,4.5,3.1,0.9
Dexter Pittman,50,2.3,1.8,0.2
Zoran Planinić,148,3.8,1.3,1.1
