Player,G,PTS,TRB,AST
Ivan Rabb,85,5.7,4.3,1.0
Luther Rackley,278,6.3,4.6,0.6
Dino Radja,224,16.7,8.4,1.6
Howie Rader,13,1.3,-,1.1
Mark Radford,97,3.6,0.8,1.7
Wayne Radford,52,3.9,1.3,1.1
Vladimir Radmanović,737,8.0,3.8,1.4
Aleksandar Radojević,15,1.7,2.4,0.5
Frank Radovich,37,2.4,1.4,0.1
Moe Radovich,4,3.5,0.3,2.0
Miroslav Raduljica,53,3.6,2.1,0.4
Ray Radziszewski,1,0.0,2.0,1.0
Ray Ragelis,51,1.3,1.5,0.6
Sherwin Raiken,6,1.5,1.3,1.0
Ed Rains,83,3.5,1.5,0.7
Igor Rakočević,42,1.9,0.4,0.8
Kurt Rambis,880,5.2,5.6,1.1
Peter John Ramos,6,1.8,0.7,0.0
Cal Ramsey,13,7.9,5.6,0.9
Frank Ramsey,623,13.4,5.5,1.8
Jahmi'us Ramsey,39,3.8,1.2,0.5
Ray Ramsey,2,1.0,-,0.0
Mark Randall,127,2.6,1.3,0.4
Chasson Randle,119,5.7,1.4,1.8
Julius Randle,660,19.1,9.3,3.7
Anthony Randolph,252,7.1,4.3,0.7
Shavlik Randolph,146,2.3,2.5,0.2
Zach Randolph,1116,16.6,9.1,1.8
Wally Rank,25,2.2,1.2,0.7
Kelvin Ransey,474,11.4,1.9,5.2
Sam Ranzino,39,2.2,1.0,0.6
Bobby Rascoe,159,7.7,2.8,1.3
Blair Rasmussen,532,9.6,5.7,0.9
Xavier Rathan-Mayes,5,5.8,1.0,3.6
George Ratkovicz,343,9.2,6.9,2.3
Ed Ratleff,338,8.3,4.0,2.7
Mike Ratliff,60,4.0,3.2,0.6
Theo Ratliff,810,7.2,5.7,0.6
Andy Rautins,5,1.6,0.2,0.6
Leo Rautins,32,1.5,1.1,1.0
Allan Ray,47,6.2,1.5,0.9
Clifford Ray,784,7.4,8.9,2.2
Don Ray,61,6.0,-,1.0
James Ray,103,3.2,2.2,0.7
Jim Ray,8,1.1,0.6,0.6
Jimmy Rayl,101,11.1,3.0,2.7
Craig Raymond,241,6.9,6.3,1.4
Connie Rea,20,1.2,1.6,0.8
Duop Reath,79,8.0,3.3,0.9
Austin Reaves,226,12.8,3.6,3.8
Joe Reaves,19,4.2,2.8,0.4
Josh Reaves,4,2.0,0.8,0.8
Željko Rebrača,215,5.9,3.2,0.4
Eldridge Recasner,296,5.9,1.8,1.8
Michael Redd,629,19.0,3.8,2.1
Cam Reddish,234,9.0,2.8,1.2
Frank Reddout,7,1.9,1.3,0.0
JJ Redick,940,12.8,2.0,2.0
Marlon Redmond,77,6.5,2.1,1.0
Davon Reed,122,3.1,1.7,0.8
Hub Reed,479,5.5,5.1,0.8
Justin Reed,136,3.5,1.4,0.5
Paul Reed,224,5.1,4.1,0.8
Ron Reed,119,8.0,6.4,1.5
Willie Reed,152,4.9,3.8,0.3
Willis Reed,650,18.7,12.9,1.8
Alex Reese,1,2.0,1.0,0.0
Antonio Reeves,11,5.6,1.3,0.5
Bryant Reeves,395,12.5,6.9,1.6
Khalid Reeves,277,7.8,2.1,3.2
Richie Regan,215,8.3,2.6,2.9
Don Rehfeldt,98,7.1,5.0,1.2
Billy Reid,59,3.2,1.0,1.2
Don Reid,403,3.6,2.9,0.4
J.R. Reid,672,8.5,5.0,1.0
Jim Reid,6,3.5,1.8,0.5
Naz Reid,345,11.1,4.6,1.1
Robert Reid,919,11.4,4.5,2.7
Ryan Reid,5,1.6,0.4,0.0
Jared Reiner,46,1.2,2.4,0.3
Chick Reiser,171,10.4,-,2.0
Richard Rellford,4,4.0,1.8,0.3
Terrence Rencher,36,2.9,1.2,1.5
John Rennicke,6,1.8,1.5,0.2
Bob Rensberger,3,0.0,-,0.0
Efthimios Rentzias,35,1.5,0.7,0.2
Shawn Respert,172,4.9,1.3,1.0
Kevin Restani,550,6.2,4.0,1.4
Cameron Reynolds,24,4.6,1.5,0.6
George Reynolds,10,2.1,1.4,1.2
Jerry Reynolds,443,9.1,3.0,2.0
Kendall Rhine,125,6.3,8.3,1.4
Jared Rhoden,35,3.8,2.1,0.6
Gene Rhodes,65,5.2,1.5,1.4
Rodrick Rhodes,72,5.3,1.2,1.7
Glen Rice,1000,18.3,4.4,2.1
Glen Rice Jr.,16,2.7,1.5,0.6
Chris Richard,70,1.9,2.8,0.4
Nick Richards,205,6.8,5.4,0.6
Clint Richardson,586,7.0,2.4,2.5
Jason Richardson,857,17.1,5.0,2.7
Jeremy Richardson,45,1.9,0.6,0.1
Josh Richardson,554,11.5,3.0,2.6
Malachi Richardson,70,2.8,1.0,0.3
Micheal Ray Richardson,556,14.8,5.5,7.0
Norm Richardson,11,2.7,0.7,0.2
Pooh Richardson,639,11.1,2.8,6.5
Quentin Richardson,783,10.3,4.7,1.5
Mitch Richmond,976,21.0,3.9,3.5
John Richter,66,4.3,4.7,0.4
Dick Ricketts,212,9.3,6.3,2.1
Isaiah Rider,563,16.7,3.8,2.7
Jackie Ridgle,32,1.8,0.5,0.2
Luke Ridnour,830,9.3,2.3,4.5
Mel Riebe,146,10.8,-,1.5
Bob Riedy,23,5.7,3.0,0.2
Jim Riffey,35,4.3,1.7,0.5
Antoine Rigaudeau,11,1.5,0.7,0.5
Tom Riker,82,2.7,1.7,0.3
Bob Riley,7,1.9,1.7,0.1
Eric Riley,186,3.1,2.6,0.3
Pat Riley,528,7.4,1.6,1.7
Ron Riley,264,5.8,5.2,1.2
Grant Riller,7,2.6,0.1,0.4
Rich Rinaldi,84,4.8,1.2,0.9
Mike Riordan,639,9.9,2.9,2.4
Zaccharie Risacher,20,11.5,3.7,1.4
Arnie Risen,637,12.0,9.7,1.7
Tex Ritter,151,5.2,1.9,1.0
Ramón Rivas,28,1.4,0.9,0.1
Austin Rivers,707,8.5,2.0,2.1
David Rivers,114,3.4,1.3,2.5
Doc Rivers,864,10.9,3.0,5.7
Lee Robbins,47,4.8,-,0.4
Liam Robbins,4,1.3,0.8,0.0
Red Robbins,586,13.1,10.5,1.7
Andre Roberson,307,4.5,4.0,0.9
Anthony Roberson,65,4.1,0.8,0.5
Rick Roberson,423,9.0,8.3,1.4
Terrance Roberson,3,0.0,0.3,0.3
Anthony Roberts,213,7.8,3.9,1.2
Bill Roberts,117,3.5,-,0.6
Brian Roberts,314,6.6,1.3,2.3
Fred Roberts,818,7.3,2.8,1.2
Joe Roberts,218,5.8,4.9,0.6
Lawrence Roberts,87,3.8,3.6,0.4
Marv Roberts,402,8.3,3.9,1.3
Stanley Roberts,300,8.5,5.2,0.6
