Player,G,PTS,TRB,AST
Arvydas Sabonis,470,12.0,7.3,2.1
Domantas Sabonis,594,15.9,10.3,4.8
Robert Sacre,189,4.2,3.1,0.7
Ed Sadowski,229,15.6,-,1.8
Kenny Sailors,276,12.6,2.0,2.8
Tidjane Salaün,17,5.1,4.1,1.1
John Salley,748,7.0,4.5,1.2
John Salmons,895,9.3,2.9,2.4
Al Salvadori,17,3.2,2.7,0.2
Kevin Salvadori,39,1.1,1.2,0.3
Soumaila Samake,47,1.4,1.6,0.1
Luka Šamanić,86,4.5,2.4,0.6
Cheikh Samb,22,1.0,1.4,0.0
Brandon Sampson,14,5.1,1.1,0.7
JaKarr Sampson,236,5.2,2.7,0.7
Jamal Sampson,72,2.0,3.4,0.4
Ralph Sampson,456,15.4,8.8,2.3
Jermaine Samuels,14,1.4,0.9,0.2
Samardo Samuels,109,5.9,3.4,0.4
Pepe Sánchez,38,0.5,0.6,1.3
Al Sanders,4,2.0,1.3,0.0
Frankie Sanders,69,5.1,1.9,1.0
Jeff Sanders,55,2.0,1.9,0.5
Larry Sanders,238,6.4,5.7,0.7
Melvin Sanders,16,2.6,1.4,0.2
Mike Sanders,648,8.0,3.0,1.4
Tom Sanders,916,9.6,6.3,1.1
Ron Sanford,1,0.0,0.0,0.0
Adama Sanogo,12,3.5,3.2,0.1
Daniel Santiago,122,3.4,2.1,0.3
Bob Santini,4,2.8,0.8,0.3
Gui Santos,29,3.0,1.9,0.6
Wayne Sappleton,33,2.9,2.3,0.2
Dario Šarić,487,10.5,5.4,1.9
Alex Sarr,17,10.8,6.3,2.2
Olivier Sarr,46,4.8,3.5,0.5
Jason Sasser,14,2.1,1.1,0.3
Jeryl Sasser,82,2.5,2.3,0.8
Marcus Sasser,84,7.9,1.7,3.0
Tomáš Satoranský,388,6.9,2.9,4.1
Kenny Satterfield,75,4.3,1.3,2.3
Pep Saul,384,5.6,2.0,1.6
Woody Sauldsberry,462,10.7,7.8,1.1
Glynn Saulters,22,2.7,0.9,0.5
Fred Saunders,210,5.3,3.0,1.1
Don Savage,17,3.2,1.8,0.8
Predrag Savović,27,3.1,0.9,0.8
Alan Sawyer,33,6.6,3.7,0.8
Brian Scalabrine,520,3.1,2.0,0.8
Alex Scales,1,0.0,0.0,0.0
DeWayne Scales,49,4.6,2.9,0.2
Frank Schade,9,1.1,0.7,1.1
Ben Schadler,37,1.5,-,0.2
Herm Schaefer,123,7.6,-,3.2
Billy Schaeffer,137,5.9,2.1,0.7
Bob Schafer,65,4.2,1.3,1.0
Jordan Schakel,6,1.3,1.3,0.2
Ben Scharnus,52,2.0,-,0.4
Marv Schatzman,34,3.4,-,1.1
Fred Schaus,334,12.2,6.0,2.9
Danny Schayes,1138,7.7,5.0,1.1
Dolph Schayes,996,18.5,12.1,3.1
Ossie Schectman,54,8.1,-,2.0
Steve Scheffler,174,1.9,1.0,0.1
Tom Scheffler,39,1.3,1.9,0.3
Baylor Scheierman,4,1.0,1.5,0.3
Dave Schellhase,73,2.8,1.0,0.8
Luke Schenscher,31,1.8,1.7,0.3
Herb Scherer,32,3.6,2.4,0.7
Dwayne Schintzius,217,2.7,2.5,0.4
Dale Schlueter,586,5.3,5.2,1.6
Otto Schnellbacher,43,6.4,-,1.5
Dick Schnittker,364,8.3,3.8,1.3
Russ Schoene,290,5.1,2.5,0.6
Admiral Schofield,131,3.3,1.6,0.6
Dave Scholz,1,2.0,0.0,0.0
Milt Schoon,103,6.0,-,0.9
Detlef Schrempf,1136,13.9,6.2,3.4
Dennis Schröder,785,14.1,2.9,4.8
Howie Schultz,173,5.3,3.1,1.7
Dick Schulz,205,5.6,-,1.0
Roger Schurig,21,4.8,1.4,0.9
John Schweitz,22,2.6,1.0,0.8
Luis Scola,743,12.0,6.7,1.6
Fred Scolari,534,11.3,2.7,2.6
Alvin Scott,627,4.9,3.2,1.4
Brent Scott,16,1.2,0.6,0.2
Byron Scott,1073,14.1,2.8,2.5
Charlie Scott,717,20.7,4.0,4.9
Dennis Scott,629,12.9,2.8,2.1
James Scott,8,0.1,0.8,0.4
Mike Scott,555,6.7,3.1,0.9
Ray Scott,811,14.3,9.8,2.2
Shawnelle Scott,105,1.8,2.2,0.2
Tre Scott,2,3.0,1.0,0.0
Willie Scott,8,1.6,0.5,0.3
Paul Scranton,5,1.8,3.2,0.2
Jay Scrubb,24,4.0,1.5,0.4
Carey Scurry,180,4.7,2.9,1.1
Dereon Seabron,11,1.6,0.7,0.5
Bruce Seals,348,8.9,4.2,1.0
Shea Seals,4,1.0,1.0,0.0
Malik Sealy,493,10.1,3.2,1.7
Ed Searcy,4,1.5,0.0,0.3
Kenny Sears,529,13.9,7.8,1.6
Wayne See,61,5.2,-,2.3
Thabo Sefolosha,869,5.7,3.7,1.4
Rony Seikaly,678,14.7,9.5,1.3
Glen Selbo,13,3.2,-,1.8
Josh Selby,38,2.2,0.5,0.9
Wayne Selden,127,7.2,2.0,1.5
Brad Sellers,398,6.3,2.7,1.1
Phil Sellers,44,4.5,0.9,0.6
Rollie Seltz,34,7.8,-,1.9
Les Selvage,82,13.5,2.7,3.1
Frank Selvy,565,10.8,3.7,2.8
Jim Seminoff,231,6.5,-,2.7
Mouhamed Sene,47,2.2,1.6,0.0
George Senesky,482,7.2,3.5,3.2
Alperen Sengun,230,15.2,8.1,3.9
Brice Sensabaugh,44,7.6,2.9,1.4
Kevin Séraphin,423,5.9,3.5,0.6
Ansu Sesay,127,3.2,1.8,0.5
Ramon Sessions,691,10.3,2.7,4.1
Ha Seung-Jin,46,1.5,1.5,0.1
Tom Sewell,21,1.0,0.2,0.3
Collin Sexton,362,18.8,2.8,3.6
Paul Seymour,622,9.4,3.1,3.8
Nick Shaback,53,4.6,-,0.5
Lynn Shackelford,22,2.6,1.2,0.5
Charles Shackleford,303,5.4,4.8,0.6
Carl Shaeffer,53,3.1,1.0,0.9
Lee Shaffer,196,16.8,6.3,1.2
Mustafa Shakur,25,2.1,0.9,1.2
Landry Shamet,348,8.7,1.7,1.6
God Shammgod,20,3.1,0.4,1.8
Earl Shannon,134,8.6,-,1.3
Howie Shannon,122,10.8,-,2.5
Terrence Shannon Jr.,4,1.0,0.0,0.5
Chuck Share,596,8.3,8.4,1.4
Bill Sharman,711,17.8,3.9,3.0
