Player,G,PTS,TRB,AST
Žan Tabak,247,5.0,3.6,0.7
Yuta Tabuse,4,1.8,1.0,0.8
Chris Taft,17,2.8,2.1,0.1
Sid Tanenbaum,70,9.0,-,2.3
Dragan Tarlać,43,2.4,2.8,0.7
Roy Tarpley,280,12.6,10.0,1.0
Levern Tart,274,19.4,5.0,3.0
Jae'Sean Tate,252,9.0,4.5,2.2
Earl Tatum,262,9.6,2.6,1.9
Jayson Tatum,532,23.3,7.2,3.6
Edy Tavares,13,2.5,2.5,0.3
Anthony Taylor,21,6.9,1.6,2.0
Brian Taylor,601,13.1,2.7,4.1
Donell Taylor,98,2.7,1.1,0.9
Fatty Taylor,640,8.0,3.9,4.0
Fred Taylor,88,4.4,1.6,0.8
Isaiah Taylor,71,6.3,1.4,2.9
Jay Taylor,17,3.0,0.6,0.3
Jeff Taylor,56,3.2,1.5,2.0
Jeff Taylor,132,6.1,2.0,0.8
Jermaine Taylor,65,5.4,1.7,0.7
Johnny Taylor,54,4.7,2.2,0.5
Leonard Taylor,10,1.1,1.2,0.1
Maurice Taylor,534,11.0,4.6,1.2
Mike Taylor,51,5.7,1.7,2.1
Ollie Taylor,262,9.7,4.2,2.4
Ron Taylor,77,4.8,3.9,0.8
Terry Taylor,95,4.8,2.7,0.6
Tyshawn Taylor,61,2.9,0.5,0.9
Vince Taylor,31,3.1,1.2,1.3
Terry Teagle,687,11.6,2.6,1.4
Jeff Teague,826,12.2,2.4,5.6
Marquis Teague,91,2.4,1.0,1.5
Mirza Teletović,324,8.1,3.2,0.8
Sebastian Telfair,564,7.4,1.6,3.5
Collis Temple,24,1.8,1.3,0.6
Garrett Temple,750,6.0,2.2,1.6
Miloš Teodosić,60,8.0,2.4,4.0
Ira Terrell,127,7.0,4.2,1.1
Jared Terrell,14,2.2,0.4,0.9
Carlos Terry,94,3.0,2.4,1.3
Chuck Terry,341,3.8,2.4,0.8
Claude Terry,349,5.5,1.4,1.3
Dalen Terry,118,3.0,1.5,1.1
Emanuel Terry,6,1.7,3.7,0.7
Jason Terry,1410,13.4,2.3,3.8
Tyrell Terry,13,1.0,0.5,0.5
Jon Teske,3,0.0,0.7,0.3
Hasheem Thabeet,224,2.2,2.7,0.1
Tom Thacker,314,3.2,2.6,1.5
Floyd Theard,25,3.8,2.0,1.8
Daniel Theis,388,7.2,4.7,1.2
Reggie Theus,1026,18.5,3.3,6.3
Peter Thibeaux,93,5.0,1.5,0.5
Bill Thieben,85,4.0,3.2,0.3
Justus Thigpen,22,2.7,0.8,0.5
David Thirdkill,179,2.8,1.2,0.5
Adonis Thomas,6,2.3,0.5,0.5
Billy Thomas,53,2.7,1.0,0.5
Brodric Thomas,44,3.3,1.4,0.9
Cam Thomas,207,14.9,2.5,2.0
Carl Thomas,63,2.9,1.0,0.4
Charles Thomas,36,1.3,0.6,0.6
Etan Thomas,409,5.7,4.7,0.4
Irving Thomas,26,1.8,1.2,0.4
Isaiah Thomas,556,17.5,2.4,4.8
