Player,G,PTS,TRB,AST
Steve Vacendak,83,9.9,2.9,2.3
Jonas Valančiūnas,873,13.3,9.4,1.3
Darnell Valentine,620,8.7,2.1,5.0
Denzel Valentine,256,7.0,3.3,1.8
Ronnie Valentine,24,3.5,1.3,0.3
John Vallely,100,3.6,0.7,0.8
Dick Van Arsdale,921,16.4,4.1,3.3
Tom Van Arsdale,929,15.3,4.2,2.2
Nick Van Exel,880,14.4,2.9,6.6
Keith Van Horn,575,16.0,6.8,1.6
Norm Van Lier,746,11.8,4.8,7.0
Dennis Van Zant,1,2.0,1.0,0.0
Fred VanVleet,509,15.0,3.4,5.7
Gene Vance,175,8.3,3.0,2.3
Logan Vander Velden,15,0.6,0.4,0.1
Jarred Vanderbilt,273,6.1,6.4,1.4
Ernie Vandeweghe,224,9.5,4.6,2.4
Kiki Vandeweghe,810,19.7,3.4,2.1
Nick Vanos,68,3.3,3.5,0.9
David Vanterpool,22,5.5,1.7,3.0
Ratko Varda,1,5.0,1.0,0.0
Anderson Varejão,632,7.2,7.2,1.2
Jarvis Varnado,37,2.9,1.9,0.4
Greivis Vásquez,401,9.0,2.5,4.8
Devin Vassell,244,13.6,3.7,2.5
Chico Vaughn,491,11.9,2.5,2.1
David Vaughn,93,10.7,9.8,1.5
David Vaughn,118,2.9,3.1,0.3
Jacque Vaughn,776,4.5,1.3,2.5
Rashad Vaughn,139,3.0,1.1,0.5
Virgil Vaughn,17,2.6,-,0.6
Loy Vaught,689,10.1,7.1,0.9
Bob Verga,342,20.2,3.9,2.9
Pete Verhoeven,282,3.5,2.3,0.5
Jan Veselý,162,3.6,3.5,0.6
Gundars Vētra,13,3.5,0.6,0.5
Sasha Vezenkov,42,5.4,2.3,0.5
João Vianna,1,2.0,0.0,2.0
Charlie Villanueva,656,10.4,4.6,0.8
Gabe Vincent,225,7.0,1.6,2.1
Jay Vincent,576,15.2,5.5,2.0
Sam Vincent,396,7.8,2.1,3.9
Marcus Vinicius,26,1.9,0.7,0.3
Fred Vinson,13,1.3,0.1,0.1
Claude Virden,31,9.9,5.0,2.4
Gary Voce,1,2.0,2.0,0.0
Floyd Volker,54,7.4,-,2.1
Alexander Volkov,149,6.8,2.6,2.2
Whitey Von Nieda,59,5.3,-,2.4
Noah Vonleh,362,4.7,4.9,0.7
Jake Voskuhl,450,4.0,3.4,0.5
Danny Vranes,510,5.1,3.9,1.2
Slavko Vraneš,1,0.0,0.0,0.0
Stojko Vranković,170,2.8,3.0,0.3
Brett Vroman,11,3.1,2.3,0.8
Jackson Vroman,87,3.3,3.0,0.6
Nikola Vučević,920,17.2,10.5,2.9
Sasha Vujačić,581,5.3,1.9,1.3
Tristan Vukcevic,10,8.5,3.6,1.3
Butch van Breda Kolff,175,4.7,-,1.5
Jan van Breda Kolff,598,6.2,4.3,2.0
