Player,G,PTS,TRB,AST
Dean Wade,237,5.2,3.4,1.0
Dwyane Wade,1054,22.0,4.7,5.4
Mark Wade,12,0.7,1.3,3.0
Von Wafer,200,5.3,1.2,0.7
Clint Wager,63,2.3,-,1.4
Dajuan Wagner,103,9.4,1.4,1.9
Danny Wagner,11,6.3,-,1.6
Franz Wagner,252,18.2,4.7,3.6
Milt Wagner,53,4.1,0.7,1.4
Moritz Wagner,354,9.1,3.9,1.2
Phil Wagner,12,3.0,1.9,1.2
Ish Wainright,116,3.3,1.8,0.6
Dion Waiters,419,13.1,2.6,2.8
Granville Waiters,249,2.4,2.2,0.5
Andre Wakefield,81,2.3,1.0,0.9
Neal Walk,568,12.6,7.7,2.1
Andy Walker,40,4.5,1.9,0.8
Antoine Walker,893,17.5,7.7,3.5
Brady Walker,228,7.0,5.4,1.4
Chet Walker,1032,18.2,7.1,2.1
Darrell Walker,720,8.9,4.4,4.6
Foots Walker,658,6.4,2.6,4.7
Henry Walker,181,6.0,2.2,0.8
Horace Walker,65,6.7,7.2,1.1
Jabari Walker,143,6.3,4.8,0.8
Jarace Walker,53,4.3,2.5,1.3
Jimmy Walker,698,16.7,2.7,3.5
Kemba Walker,750,19.3,3.8,5.3
Kenny Walker,448,7.0,4.0,0.7
Lonnie Walker IV,322,9.8,2.3,1.5
M.J. Walker,2,0.0,0.5,0.5
Phil Walker,40,4.5,1.3,1.4
Samaki Walker,445,5.3,4.7,0.6
Wally Walker,565,7.0,3.1,1.5
John Wall,647,18.7,4.2,8.9
Ben Wallace,1088,5.7,9.6,1.3
Cason Wallace,101,6.7,2.5,1.6
Gerald Wallace,832,11.9,5.8,2.1
John Wallace,381,7.6,2.8,0.7
Keaton Wallace,12,4.7,1.5,1.8
Rasheed Wallace,1109,14.4,6.7,1.8
Red Wallace,61,9.1,-,1.0
Tyrone Wallace,112,5.1,2.1,1.1
Dwight Waller,20,2.0,2.7,0.3
Jamie Waller,9,4.7,1.4,0.3
Jim Walsh,10,2.0,1.5,0.8
Jordan Walsh,23,1.6,1.4,0.3
Matt Walsh,2,1.0,0.0,0.0
Ja'Kobe Walter,6,5.0,4.2,1.7
Rex Walters,335,4.6,1.2,1.7
Paul Walther,370,7.7,3.7,2.6
Isaac Walthour,4,0.5,0.3,0.5
Bill Walton,468,13.3,10.5,3.4
Derrick Walton,45,2.2,0.9,1.4
Lloyd Walton,341,4.2,1.1,3.6
Luke Walton,564,4.7,2.8,2.3
Brad Wanamaker,191,5.5,1.7,2.4
Bobby Wanzer,568,12.2,4.5,3.2
Perry Warbington,5,2.0,1.6,3.2
Charlie Ward,630,6.3,2.6,4.0
Gerry Ward,169,3.2,1.7,1.4
Henry Ward,88,4.7,2.0,0.5
Casper Ware,9,5.3,1.0,1.1
Jim Ware,64,2.3,2.4,0.2
Kel'el Ware,10,2.4,1.6,0.1
Ben Warley,436,8.5,5.6,0.8
Bob Warlick,186,7.9,3.0,2.1
Cornell Warner,445,6.4,7.5,1.1
Jameel Warney,3,5.7,3.0,0.0
Bob Warren,486,8.9,3.2,1.8
John Warren,303,6.0,2.3,1.9
T.J. Warren,385,14.3,3.9,1.2
Willie Warren,19,1.9,0.6,1.4
Bryan Warrick,169,4.0,1.3,2.6
Hakim Warrick,526,9.4,4.0,0.8
Chris Washburn,72,3.1,2.4,0.3
Julian Washburn,18,2.2,2.3,0.8
Bobby Washington,118,5.9,2.0,3.5
Darius Washington,18,2.9,1.1,0.8
Don Washington,56,3.9,1.8,0.6
Duane Washington,19,2.8,1.3,2.1
Duane Washington Jr.,79,9.1,1.5,1.9
Eric Washington,104,6.9,2.1,1.0
Jim Washington,774,10.6,8.6,1.4
Kermit Washington,507,9.2,8.3,1.4
P.J. Washington,347,12.8,5.7,2.2
Pearl Washington,194,8.6,1.9,3.8
Richard Washington,351,9.8,6.3,1.2
Stan Washington,1,0.0,0.0,0.0
Trooper Washington,426,10.6,10.0,2.4
TyTy Washington Jr.,45,3.7,1.1,1.2
Wilson Washington,100,7.3,4.5,0.6
Yuta Watanabe,213,4.2,2.3,0.6
Lindy Waters III,120,5.4,1.9,0.8
Tremont Waters,40,3.7,0.9,2.1
Trendon Watford,180,7.3,3.6,1.7
Darryl Watkins,14,2.5,2.8,0.2
Bobby Watson,63,2.8,1.4,1.3
C.J. Watson,600,7.2,1.9,2.5
Earl Watson,878,6.4,2.3,4.4
Jamie Watson,102,3.2,1.5,1.1
Paul Watson,46,3.8,1.9,0.7
Peyton Watson,120,6.4,3.0,1.0
Ron Watts,28,1.4,1.4,0.1
Sam Watts,54,5.2,1.8,0.8
Slick Watts,437,8.9,3.2,6.1
Maalik Wayns,29,2.7,0.3,1.0
David Wear,2,0.0,1.0,0.5
Travis Wear,68,4.0,2.1,0.7
Clarence Weatherspoon,915,11.5,7.5,1.5
Nick Weatherspoon,453,9.0,4.9,0.9
Quinndary Weatherspoon,42,2.1,0.8,0.6
Kyle Weaver,73,5.0,2.2,1.6
James Webb III,10,1.6,2.4,0.4
Jeff Webb,75,2.1,0.8,0.6
Marcus Webb,9,4.3,1.1,0.2
Spud Webb,814,9.9,2.1,5.3
Chris Webber,831,20.7,9.8,4.2
Briante Weber,45,3.2,1.9,1.4
Jake Weber,50,3.5,-,0.1
Elnardo Webster,24,5.1,1.8,0.7
Jeff Webster,11,1.6,0.6,0.3
Martell Webster,580,8.7,3.1,1.0
Marvin Webster,617,7.0,6.8,1.2
Scott Wedman,906,13.2,4.8,2.0
Sonny Weems,183,6.5,2.2,1.4
Dick Wehr,9,1.3,-,0.3
Brant Weidner,8,1.0,1.4,0.0
Bob Weiss,783,7.6,1.8,3.7
Rick Weitzman,25,1.3,0.4,0.3
Bonzi Wells,591,12.1,4.6,2.1
Bubba Wells,39,3.3,1.7,0.9
Jaylen Wells,20,12.2,3.3,1.9
Owen Wells,33,3.0,1.1,0.7
Ralph Wells,3,0.7,2.0,2.3
Chris Welp,109,3.3,2.4,0.4
Jiří Welsch,247,6.1,2.4,1.5
Thomas Welsh,11,1.6,0.4,0.5
Victor Wembanyama,87,21.8,10.5,3.7
Bill Wennington,720,4.6,3.0,0.6
Matt Wenstrom,11,1.6,1.1,0.0
Robert Werdann,47,2.1,1.7,0.2
Ray Wertis,68,3.6,-,0.7
Blake Wesley,115,4.6,1.7,2.5
David Wesley,949,12.5,2.5,4.4
Walt Wesley,590,8.5,5.5,0.7
David West,1034,13.6,6.4,2.2
Delonte West,432,9.7,2.9,3.6
Doug West,676,9.6,2.5,1.9
Jerry West,932,27.0,5.8,6.7
Mario West,162,1.0,0.9,0.3
Mark West,1090,5.7,4.9,0.4
Roland West,4,1.0,1.3,0.0
Dexter Westbrook,12,4.0,1.9,0.4
Russell Westbrook,1179,21.6,7.1,8.1
Paul Westphal,823,15.6,1.9,4.4
John Wetzel,357,3.4,1.9,1.4
Robert Whaley,23,2.1,1.9,0.7
Ennis Whatley,385,5.6,1.8,4.6
DeJuan Wheat,80,3.3,0.7,1.6
Clinton Wheeler,87,2.9,0.8,1.8
Tyson Wheeler,1,4.0,0.0,2.0
Skippy Whitaker,3,0.7,0.3,0.3
Andrew White,15,4.6,2.3,0.4
Coby White,369,14.3,3.6,3.7
D.J. White,138,5.9,3.2,0.6
Derrick White,437,12.6,3.6,4.1
Eric White,55,6.1,2.4,0.5
Herb White,38,2.4,1.3,1.2
Hubie White,120,4.8,2.2,0.9
Jack White,21,1.3,1.4,0.2
Jahidi White,334,5.9,5.8,0.2
James White,67,2.7,1.0,0.5
Jo Jo White,837,17.2,4.0,4.9
Okaro White,44,2.7,2.2,0.5
Randy White,281,7.4,4.9,0.6
Rodney White,218,7.1,2.2,1.1
Rory White,324,7.4,2.3,0.7
Royce White,3,0.0,0.0,0.0
Rudy White,124,3.1,1.0,0.9
Tony White,49,5.3,0.6,1.2
Willie White,82,3.7,1.0,1.0
Isaiah Whitehead,89,7.2,2.4,2.4
Jerome Whitehead,679,6.5,4.8,0.6
Donald Whiteside,30,2.0,0.4,1.2
Hassan Whiteside,511,12.6,10.8,0.6
Dwayne Whitfield,8,5.0,3.1,0.3
Cam Whitmore,55,11.4,3.5,0.7
Chris Whitney,579,6.5,1.4,2.8
Hank Whitney,145,9.2,7.6,1.2
Hawkeye Whitney,70,5.8,2.1,1.2
Greg Whittington,4,0.0,0.0,0.0
Shayne Whittington,27,2.5,1.5,0.3
Sidney Wicks,760,16.8,8.7,3.2
Ron Widby,20,2.9,2.3,0.2
Murray Wier,56,7.7,-,1.9
Bob Wiesenhahn,60,2.0,1.9,0.4
Joe Wieskamp,38,1.8,0.5,0.3
Aaron Wiggins,217,7.4,3.0,1.2
Andrew Wiggins,722,18.5,4.5,2.3
Mitchell Wiggins,389,10.0,3.2,1.6
Lindell Wigginton,29,4.7,1.1,1.3
Ken Wilburn,54,3.9,3.9,0.5
C.J. Wilcox,66,2.0,0.5,0.5
Chris Wilcox,628,8.2,4.9,0.7
D.C. Wilcutt,59,2.2,-,1.4
Gene Wiley,309,4.2,7.2,0.8
Jacob Wiley,5,0.8,2.2,0.4
Michael Wiley,94,7.4,2.6,0.7
Morlon Wiley,295,3.7,1.2,2.4
Win Wilfong,268,6.8,3.4,2.1
Lenny Wilkens,1077,16.5,4.7,6.7
Bob Wilkerson,536,10.1,4.2,3.4
Jamaal Wilkes,828,17.7,6.2,2.5
James Wilkes,114,4.8,2.4,0.9
Damien Wilkins,582,6.2,2.3,1.4
Dominique Wilkins,1074,24.8,6.7,2.5
Eddie Lee Wilkins,322,4.8,3.1,0.2
Gerald Wilkins,900,13.0,2.9,3.0
Jeff Wilkins,454,7.9,5.7,1.0
Dale Wilkinson,12,1.2,0.3,0.2
Mike Wilks,233,2.5,1.0,1.2
Aaron Williams,715,5.8,3.9,0.7
Al Williams,11,3.9,2.4,0.5
Alan Williams,67,6.2,5.5,0.6
Alondes Williams,9,1.1,0.2,0.1
Alvin Williams,460,9.0,2.5,4.1
Art Williams,548,5.3,3.1,4.4
Bernie Williams,283,9.3,1.8,2.0
Bob Williams,24,2.9,2.5,0.3
Brandon Williams,18,2.3,1.0,0.2
Brandon Williams,46,8.0,2.0,2.5
Buck Williams,1307,12.8,10.0,1.3
C.J. Williams,53,4.7,1.2,1.0
Charlie Williams,372,16.2,3.1,2.7
Chuck Williams,638,10.8,2.3,4.5
Chuckie Williams,22,1.7,0.2,0.3
Cliff Williams,3,1.3,1.0,0.7
Cody Williams,16,3.1,2.3,1.2
Corey Williams,39,2.4,0.9,0.7
Deron Williams,845,16.3,3.1,8.1
Derrick Williams,428,8.9,4.0,0.7
Donovan Williams,2,2.0,1.0,0.0
Duck Williams,77,6.6,1.4,2.4
Earl Williams,146,4.5,5.6,0.9
Elliot Williams,109,4.9,1.5,0.9
Eric Williams,658,8.6,3.3,1.4
Fly Williams,71,9.4,2.5,2.0
Frank Williams,86,2.9,0.9,1.9
Freeman Williams,323,14.7,1.6,1.6
Gene Williams,1,0.0,0.0,0.0
Grant Williams,380,7.2,3.7,1.5
Gus Williams,825,17.1,2.7,5.6
Guy Williams,26,2.6,1.3,0.3
Hank Williams,39,4.2,2.3,0.6
Herb Williams,1102,10.8,5.9,1.7
Hot Rod Williams,887,11.0,6.8,1.8
Jalen Williams,165,17.1,4.5,4.0
Jason Williams,788,10.5,2.3,5.9
Jawad Williams,90,3.8,1.5,0.6
Jay Williams,75,9.5,2.6,4.7
Jaylin Williams,118,4.8,4.0,1.6
Jayson Williams,475,7.3,7.5,0.6
Jeenathan Williams,30,4.1,1.4,0.6
Jerome Williams,587,6.6,6.4,0.8
John Williams,435,10.1,5.1,2.9
Johnathan Williams,39,5.2,4.2,0.5
Jordan Williams,43,4.6,3.6,0.3
Justin Williams,49,3.4,3.3,0.0
Kenny Williams,260,4.8,2.7,0.6
Kenrich Williams,331,6.3,4.2,1.8
Kevin Williams,260,4.9,1.4,1.2
Lorenzo Williams,253,3.0,6.3,1.0
Lou Williams,1123,13.9,2.2,3.4
Malik Williams,7,2.7,5.4,0.3
Marcus Williams,203,5.6,1.8,2.8
Marcus Williams,13,1.1,0.9,0.2
Mark Williams,62,10.1,7.9,0.6
Marvin Williams,1072,10.2,5.2,1.3
Matt Williams,3,1.7,0.3,0.0
Micheal Williams,413,11.0,2.5,5.8
Mike Williams,21,0.7,1.1,0.1
Milt Williams,72,3.6,0.9,1.9
Mo Williams,818,13.2,2.8,4.9
Monty Williams,456,6.3,2.8,1.2
Nate Williams,642,12.0,3.8,1.5
Patrick Williams,228,9.7,4.2,1.4
Pete Williams,58,2.6,2.5,0.3
Ray Williams,655,15.5,3.6,5.8
Reggie Williams,599,12.5,4.0,2.5
Reggie Williams,206,7.8,2.4,1.5
Rickey Williams,44,3.3,0.9,0.8
Rob Williams,153,8.6,2.2,5.4
Robert Williams,222,7.4,6.9,1.4
Ron Williams,516,9.3,1.9,3.5
Sam Williams,66,3.9,1.8,1.0
Sam Williams,257,6.3,4.5,0.6
