Player,G,PTS,TRB,AST
Guerschon Yabusele,91,3.7,2.2,0.7
Vincent Yarbrough,59,6.9,2.7,2.2
George Yardley,472,19.2,8.9,1.7
Barry Yates,24,2.9,1.7,0.3
Wayne Yates,37,1.9,2.5,0.4
Charlie Yelverton,69,7.9,2.9,1.2
Rich Yonakor,10,3.3,2.7,0.3
Gabe York,5,6.4,1.6,1.8
Danny Young,574,4.6,1.2,2.9
James Young,95,2.3,1.0,0.3
Joe Young,127,3.4,1.0,0.9
Korleone Young,3,4.3,1.3,0.3
Michael Young,49,4.6,1.8,0.5
Nick Young,720,11.4,2.0,1.0
Perry Young,9,1.4,0.9,0.8
Sam Young,249,5.8,2.3,0.7
Thaddeus Young,1172,12.1,5.6,1.8
Tim Young,25,2.2,1.4,0.2
Trae Young,426,25.3,3.6,9.6
Sun Yue,10,0.6,0.0,0.2
Omer Yurtseven,113,5.0,4.6,0.7
